Inicio: 24/11/2023 13:21:27,99 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: videos-pequenos.txt
24/11/2023 13:37:37,21 109874
24/11/2023 13:37:43,16 110291
24/11/2023 13:37:48,12 109434
24/11/2023 13:37:53,17 109299
24/11/2023 13:37:58,14 109416
24/11/2023 13:38:03,15 109335
24/11/2023 13:38:09,13 109626
24/11/2023 13:38:14,15 109437
24/11/2023 13:38:19,12 108487
24/11/2023 13:38:24,17 108227
24/11/2023 13:38:30,15 108119
24/11/2023 13:38:36,14 108613
24/11/2023 13:38:42,15 108409
24/11/2023 13:38:48,17 109608
24/11/2023 13:38:53,12 108420
24/11/2023 13:38:58,17 106444
24/11/2023 13:39:03,12 105444
24/11/2023 13:39:08,19 109854
24/11/2023 13:39:14,20 110095
24/11/2023 13:39:20,11 109616
24/11/2023 13:39:25,18 109779
24/11/2023 13:39:30,12 109630
24/11/2023 13:39:35,11 109754
24/11/2023 13:39:40,19 109814
24/11/2023 13:39:46,13 109605
24/11/2023 13:39:51,17 109001
24/11/2023 13:39:57,11 109588
24/11/2023 13:40:02,21 108928
24/11/2023 13:40:08,11 109734
24/11/2023 13:40:13,12 109294
24/11/2023 13:40:18,13 109712
24/11/2023 13:40:23,19 108824
24/11/2023 13:40:28,12 110112
24/11/2023 13:40:33,13 109252
24/11/2023 13:40:38,16 110280
24/11/2023 13:40:43,22 109900
24/11/2023 13:40:49,16 110682
24/11/2023 13:40:54,13 109538
24/11/2023 13:41:00,20 110747
24/11/2023 13:41:06,16 110089
24/11/2023 13:41:12,16 110178
24/11/2023 13:41:18,19 110492
24/11/2023 13:41:24,15 109677
24/11/2023 13:41:30,20 110684
24/11/2023 13:41:36,21 110341
24/11/2023 13:41:42,22 110569
24/11/2023 13:41:48,15 110955
24/11/2023 13:41:54,11 110247
24/11/2023 13:41:59,12 110979
24/11/2023 13:42:04,21 110099
24/11/2023 13:42:10,17 92716
24/11/2023 13:42:16,21 111123
24/11/2023 13:42:22,14 110687
24/11/2023 13:42:27,19 110599
24/11/2023 13:42:33,20 110377
24/11/2023 13:42:39,19 110005
24/11/2023 13:42:45,14 109517
24/11/2023 13:42:50,19 110087
24/11/2023 13:42:56,18 109616
24/11/2023 13:43:02,14 109696
24/11/2023 13:43:07,21 109710
24/11/2023 13:43:13,19 109893
24/11/2023 13:43:19,14 110162
24/11/2023 13:43:25,14 109374
24/11/2023 13:43:30,20 110552
24/11/2023 13:43:36,14 109486
24/11/2023 13:43:42,17 107117
24/11/2023 13:43:48,18 106980
24/11/2023 13:43:54,16 106412
24/11/2023 13:44:00,22 110101
24/11/2023 13:44:06,16 109233
24/11/2023 13:44:12,20 110467
24/11/2023 13:44:18,21 110221
24/11/2023 13:44:24,15 109717
24/11/2023 13:44:29,18 110012
24/11/2023 13:44:35,13 109469
24/11/2023 13:44:41,14 107203
24/11/2023 13:44:46,12 106671
24/11/2023 13:44:51,15 110543
24/11/2023 13:44:56,20 109575
24/11/2023 13:45:02,20 110733
24/11/2023 13:45:08,20 110555
24/11/2023 13:45:14,13 110217
24/11/2023 13:45:19,18 110279
24/11/2023 13:45:25,17 109831
24/11/2023 13:45:30,11 110301
24/11/2023 13:45:36,21 109769
24/11/2023 13:45:42,15 110603
24/11/2023 13:45:48,20 110574
24/11/2023 13:45:54,18 110147
24/11/2023 13:46:00,16 110324
24/11/2023 13:46:06,14 109891
24/11/2023 13:46:11,17 110460
24/11/2023 13:46:16,20 110113
24/11/2023 13:46:22,20 110639
24/11/2023 13:46:28,16 100685
24/11/2023 13:46:33,20 110187
24/11/2023 13:46:39,18 110133
24/11/2023 13:46:44,21 110225
24/11/2023 13:46:50,17 110543
24/11/2023 13:46:56,13 109907
24/11/2023 13:47:02,21 110595
24/11/2023 13:47:08,16 109699
24/11/2023 13:47:14,15 110849
24/11/2023 13:47:19,21 110531
24/11/2023 13:47:25,19 110187
24/11/2023 13:47:31,19 110651
24/11/2023 13:47:37,19 110139
24/11/2023 13:47:43,13 110904
24/11/2023 13:47:48,11 110309
24/11/2023 13:47:53,15 110950
24/11/2023 13:47:58,17 109843
24/11/2023 13:48:04,20 111089
24/11/2023 13:48:10,14 110527
24/11/2023 13:48:15,20 110611
24/11/2023 13:48:21,14 110725
24/11/2023 13:48:27,21 110069
24/11/2023 13:48:33,20 95402
24/11/2023 13:48:39,12 94394
24/11/2023 13:48:44,20 110522
24/11/2023 13:48:50,19 110493
24/11/2023 13:48:56,16 110025
24/11/2023 13:49:02,16 110361
24/11/2023 13:49:08,19 109785
24/11/2023 13:49:14,19 110709
24/11/2023 13:49:20,19 110579
24/11/2023 13:49:26,15 110087
24/11/2023 13:49:31,12 109967
24/11/2023 13:49:36,18 109779
24/11/2023 13:49:42,21 110028
24/11/2023 13:49:48,18 110001
24/11/2023 13:49:54,17 110363
24/11/2023 13:50:00,20 109917
24/11/2023 13:50:06,17 110081
24/11/2023 13:50:11,19 110067
24/11/2023 13:50:17,17 110255
24/11/2023 13:50:23,13 110761
24/11/2023 13:50:28,15 109989
24/11/2023 13:50:33,14 107466
24/11/2023 13:50:39,16 106677
24/11/2023 13:50:44,12 110543
24/11/2023 13:50:49,15 110099
24/11/2023 13:50:54,20 110537
24/11/2023 13:51:00,16 109657
24/11/2023 13:51:05,16 110626
24/11/2023 13:51:10,17 109602
24/11/2023 13:51:16,22 110852
24/11/2023 13:51:22,22 110659
24/11/2023 13:51:28,22 110075
24/11/2023 13:51:34,12 110326
24/11/2023 13:51:39,17 109677
24/11/2023 13:51:45,12 110576
24/11/2023 13:51:51,20 76028
24/11/2023 13:51:57,14 110284
24/11/2023 13:52:02,13 110181
24/11/2023 13:52:07,15 110145
24/11/2023 13:52:12,13 110623
24/11/2023 13:52:18,16 110663
24/11/2023 13:52:24,12 104685
24/11/2023 13:52:30,17 103957
24/11/2023 13:52:36,18 104901
24/11/2023 13:52:42,21 110784
24/11/2023 13:52:48,18 110965
24/11/2023 13:52:54,21 111147
24/11/2023 13:53:00,18 110565
24/11/2023 13:53:05,20 111113
24/11/2023 13:53:11,15 110345
24/11/2023 13:53:16,20 111292
24/11/2023 13:53:22,20 108001
24/11/2023 13:53:28,14 110975
24/11/2023 13:53:33,22 110911
24/11/2023 13:53:39,20 110787
24/11/2023 13:53:45,20 111189
24/11/2023 13:53:51,18 111025
24/11/2023 13:53:57,20 111547
24/11/2023 13:54:03,18 111023
24/11/2023 13:54:09,12 110979
24/11/2023 13:54:14,17 110885
24/11/2023 13:54:20,12 111013
24/11/2023 13:54:25,21 111097
24/11/2023 13:54:31,14 110487
24/11/2023 13:54:36,20 108075
24/11/2023 13:54:42,16 107283
24/11/2023 13:54:47,14 111237
24/11/2023 13:54:53,18 111470
24/11/2023 13:54:58,13 111084
24/11/2023 13:55:03,18 110876
24/11/2023 13:55:09,10 111147
24/11/2023 13:55:14,16 111328
24/11/2023 13:55:20,13 111624
24/11/2023 13:55:25,13 111650
24/11/2023 13:55:30,14 111182
24/11/2023 13:55:35,19 111521
24/11/2023 13:55:41,15 111177
24/11/2023 13:55:47,19 111824
24/11/2023 13:55:53,20 111412
24/11/2023 13:55:59,13 111961
24/11/2023 13:56:04,21 111417
24/11/2023 13:56:10,15 111437
24/11/2023 13:56:16,21 111785
24/11/2023 13:56:22,21 111697
24/11/2023 13:56:28,15 112098
24/11/2023 13:56:34,15 111611
24/11/2023 13:56:39,21 114780
24/11/2023 13:56:45,11 111731
24/11/2023 13:56:50,17 111799
24/11/2023 13:56:56,19 105928
24/11/2023 13:57:02,17 105276
24/11/2023 13:57:08,16 112149
24/11/2023 13:57:13,21 111201
24/11/2023 13:57:19,13 112128
24/11/2023 13:57:25,14 111918
24/11/2023 13:57:30,12 111498
24/11/2023 13:57:35,14 111538
24/11/2023 13:57:41,15 110907
24/11/2023 13:57:46,19 110795
24/11/2023 13:57:52,15 110893
24/11/2023 13:57:58,18 92669
24/11/2023 13:58:04,13 91750
24/11/2023 13:58:09,11 111153
24/11/2023 13:58:14,20 110109
24/11/2023 13:58:20,16 111424
24/11/2023 13:58:26,14 111083
24/11/2023 13:58:32,21 110619
24/11/2023 13:58:38,19 111241
24/11/2023 13:58:44,12 110541
24/11/2023 13:58:49,18 111391
24/11/2023 13:58:55,15 76837
24/11/2023 13:59:01,14 111055
24/11/2023 13:59:06,21 111139
24/11/2023 13:59:12,20 111071
24/11/2023 13:59:18,19 111453
24/11/2023 13:59:24,15 111293
24/11/2023 13:59:30,16 111707
24/11/2023 13:59:35,17 110482
24/11/2023 13:59:41,20 111674
24/11/2023 13:59:47,14 111142
24/11/2023 13:59:53,22 111376
24/11/2023 13:59:59,21 111576
24/11/2023 14:00:05,17 110792
24/11/2023 14:00:11,18 111427
24/11/2023 14:00:17,21 110898
24/11/2023 14:00:23,17 111053
24/11/2023 14:00:29,15 111215
24/11/2023 14:00:35,20 110491
24/11/2023 14:00:41,18 111407
24/11/2023 14:00:47,20 110860
24/11/2023 14:00:53,16 111064
24/11/2023 14:00:58,11 111119
24/11/2023 14:01:03,20 110735
24/11/2023 14:01:09,18 111132
24/11/2023 14:01:15,19 110563
24/11/2023 14:01:21,12 104088
24/11/2023 14:01:27,21 110049
24/11/2023 14:01:33,18 109619
24/11/2023 14:01:38,19 110180
24/11/2023 14:01:44,18 110043
24/11/2023 14:01:50,18 110542
24/11/2023 14:01:56,11 110260
24/11/2023 14:02:02,15 107754
24/11/2023 14:02:07,12 74151
24/11/2023 14:02:12,16 110365
24/11/2023 14:02:18,14 110247
24/11/2023 14:02:23,21 110347
24/11/2023 14:02:29,20 110665
24/11/2023 14:02:35,12 110061
24/11/2023 14:02:40,20 110626
24/11/2023 14:02:46,14 110030
24/11/2023 14:02:51,19 110771
24/11/2023 14:02:57,19 110404
24/11/2023 14:03:03,14 111049
24/11/2023 14:03:09,14 110517
24/11/2023 14:03:15,17 110285
24/11/2023 14:03:20,13 110632
24/11/2023 14:03:25,14 110554
24/11/2023 14:03:30,22 110965
24/11/2023 14:03:36,19 110425
24/11/2023 14:03:41,21 111535
24/11/2023 14:03:47,13 110912
24/11/2023 14:03:53,14 108788
24/11/2023 14:03:58,18 108032
24/11/2023 14:04:04,13 111740
24/11/2023 14:04:09,18 111504
