Inicio: 24/11/2023 13:21:27,99 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: videos-pequenos.txt
24/11/2023 15:17:56,16 112485
24/11/2023 15:18:01,12 112986
24/11/2023 15:18:06,18 112730
24/11/2023 15:18:11,16 113699
24/11/2023 15:18:16,20 112971
24/11/2023 15:18:22,15 113803
24/11/2023 15:18:28,16 94271
24/11/2023 15:18:34,13 106560
24/11/2023 15:18:40,15 112241
24/11/2023 15:18:46,12 111544
24/11/2023 15:18:51,15 112579
24/11/2023 15:18:56,16 112003
24/11/2023 15:19:01,21 112571
24/11/2023 15:19:07,20 112429
24/11/2023 15:19:13,18 112818
24/11/2023 15:19:19,21 112899
24/11/2023 15:19:25,19 112813
24/11/2023 15:19:31,22 112962
24/11/2023 15:19:37,14 112914
24/11/2023 15:19:42,23 113112
24/11/2023 15:19:48,19 112328
24/11/2023 15:19:54,15 113332
24/11/2023 15:19:59,15 112591
24/11/2023 15:20:04,12 112799
24/11/2023 15:20:09,18 112928
24/11/2023 15:20:15,16 112775
24/11/2023 15:20:20,12 112715
24/11/2023 15:20:25,21 112933
24/11/2023 15:20:31,13 113174
24/11/2023 15:20:36,16 112468
24/11/2023 15:20:42,15 112686
24/11/2023 15:20:48,18 111993
24/11/2023 15:20:54,16 113270
24/11/2023 15:21:00,14 112780
24/11/2023 15:21:05,12 112866
24/11/2023 15:21:10,19 113081
24/11/2023 15:21:15,15 112809
24/11/2023 15:21:20,19 112732
24/11/2023 15:21:26,16 112784
24/11/2023 15:21:31,16 112851
24/11/2023 15:21:37,13 113011
24/11/2023 15:21:42,11 113179
24/11/2023 15:21:47,21 112687
24/11/2023 15:21:53,17 113231
24/11/2023 15:21:59,12 112611
24/11/2023 15:22:05,21 113629
24/11/2023 15:22:11,21 113379
24/11/2023 15:22:17,15 112914
24/11/2023 15:22:22,13 113090
24/11/2023 15:22:27,20 112719
24/11/2023 15:22:33,15 113242
24/11/2023 15:22:39,18 113118
24/11/2023 15:22:44,14 113276
24/11/2023 15:22:49,22 111833
24/11/2023 15:22:55,19 112854
24/11/2023 15:23:01,16 112472
24/11/2023 15:23:06,11 112291
24/11/2023 15:23:12,18 112269
24/11/2023 15:23:17,13 111732
24/11/2023 15:23:22,20 111630
24/11/2023 15:23:28,19 111426
24/11/2023 15:23:34,17 111887
24/11/2023 15:23:39,16 111603
24/11/2023 15:23:44,20 111874
24/11/2023 15:23:49,15 111162
24/11/2023 15:23:54,12 111830
24/11/2023 15:23:59,17 111194
24/11/2023 15:24:04,16 112152
24/11/2023 15:24:09,16 111928
24/11/2023 15:24:15,17 112243
24/11/2023 15:24:20,12 111285
24/11/2023 15:24:25,18 112251
24/11/2023 15:24:31,18 111377
24/11/2023 15:24:37,15 112465
24/11/2023 15:24:43,18 112335
24/11/2023 15:24:49,14 111727
24/11/2023 15:24:54,11 112115
24/11/2023 15:24:59,14 111627
24/11/2023 15:25:04,20 112161
24/11/2023 15:25:10,22 112125
24/11/2023 15:25:16,12 112447
24/11/2023 15:25:22,19 112086
24/11/2023 15:25:28,21 112132
24/11/2023 15:25:33,65 112206
24/11/2023 15:25:39,17 112266
24/11/2023 15:25:45,15 112460
24/11/2023 15:25:50,12 111708
24/11/2023 15:25:55,15 112404
24/11/2023 15:26:00,18 111600
24/11/2023 15:26:05,15 112314
24/11/2023 15:26:10,22 112123
24/11/2023 15:26:16,22 112908
24/11/2023 15:26:22,22 111980
24/11/2023 15:26:28,14 112305
24/11/2023 15:26:33,14 111876
24/11/2023 15:26:38,14 111976
24/11/2023 15:26:43,14 112158
24/11/2023 15:26:48,13 111906
24/11/2023 15:26:53,15 111838
24/11/2023 15:26:58,22 111917
24/11/2023 15:27:04,16 112805
24/11/2023 15:27:10,14 113417
24/11/2023 15:27:16,18 113623
24/11/2023 15:27:21,19 112831
24/11/2023 15:27:27,20 113739
24/11/2023 15:27:33,19 110009
24/11/2023 15:27:38,14 113337
24/11/2023 15:27:43,22 83775
24/11/2023 15:27:49,15 113404
24/11/2023 15:27:54,12 113388
24/11/2023 15:27:59,21 113392
24/11/2023 15:28:04,18 113486
24/11/2023 15:28:09,16 113733
24/11/2023 15:28:14,20 113911
24/11/2023 15:28:20,15 113607
24/11/2023 15:28:26,22 113900
24/11/2023 15:28:32,18 113336
24/11/2023 15:28:38,19 114161
24/11/2023 15:28:44,12 114061
24/11/2023 15:28:49,20 113699
24/11/2023 15:28:55,16 113731
24/11/2023 15:29:01,21 113523
24/11/2023 15:29:07,19 114515
24/11/2023 15:29:13,20 114231
24/11/2023 15:29:19,18 114935
24/11/2023 15:29:25,20 114367
24/11/2023 15:29:31,16 114267
24/11/2023 15:29:36,13 114473
24/11/2023 15:29:41,21 114370
24/11/2023 15:29:47,21 114792
24/11/2023 15:29:53,16 114012
24/11/2023 15:29:58,22 114788
24/11/2023 15:30:04,20 113867
24/11/2023 15:30:09,15 114813
24/11/2023 15:30:14,16 114245
24/11/2023 15:30:19,20 114907
24/11/2023 15:30:25,20 113888
24/11/2023 15:30:31,20 113897
24/11/2023 15:30:36,12 113915
24/11/2023 15:30:41,17 114147
24/11/2023 15:30:46,15 114293
24/11/2023 15:30:52,11 113957
24/11/2023 15:30:57,16 114180
24/11/2023 15:31:02,22 113840
24/11/2023 15:31:08,15 113998
24/11/2023 15:31:13,21 113790
24/11/2023 15:31:19,16 114287
24/11/2023 15:31:25,13 113215
24/11/2023 15:31:30,22 114241
24/11/2023 15:31:36,18 113861
24/11/2023 15:31:42,12 114061
24/11/2023 15:31:47,16 114078
24/11/2023 15:31:53,14 113634
24/11/2023 15:31:59,19 114195
24/11/2023 15:32:05,17 113351
24/11/2023 15:32:11,16 114489
24/11/2023 15:32:16,17 114079
24/11/2023 15:32:21,16 113879
24/11/2023 15:32:26,12 110459
24/11/2023 15:32:31,22 113911
24/11/2023 15:32:37,16 113861
24/11/2023 15:32:42,14 111168
24/11/2023 15:32:48,13 112308
24/11/2023 15:32:53,15 111091
24/11/2023 15:32:58,18 110845
24/11/2023 15:33:03,14 110532
24/11/2023 15:33:08,13 110577
24/11/2023 15:33:13,19 110569
24/11/2023 15:33:19,21 111054
24/11/2023 15:33:25,20 110308
24/11/2023 15:33:31,14 111137
24/11/2023 15:33:36,20 110399
24/11/2023 15:33:41,17 110519
24/11/2023 15:33:46,20 109881
24/11/2023 15:33:52,14 110711
24/11/2023 15:33:57,12 109210
24/11/2023 15:34:02,22 109453
24/11/2023 15:34:08,20 109364
24/11/2023 15:34:14,12 109560
24/11/2023 15:34:19,15 110289
24/11/2023 15:34:25,17 109769
24/11/2023 15:34:30,14 110293
24/11/2023 15:34:35,17 109637
24/11/2023 15:34:41,16 110391
24/11/2023 15:34:46,16 109835
24/11/2023 15:34:51,14 110301
24/11/2023 15:34:56,14 109405
24/11/2023 15:35:02,17 110519
24/11/2023 15:35:08,14 109777
24/11/2023 15:35:13,21 109833
24/11/2023 15:35:19,14 109580
24/11/2023 15:35:25,17 109008
24/11/2023 15:35:30,17 109368
24/11/2023 15:35:36,17 108892
24/11/2023 15:35:41,19 109550
24/11/2023 15:35:47,12 109201
24/11/2023 15:35:52,18 109757
24/11/2023 15:35:57,21 108701
24/11/2023 15:36:03,20 109836
24/11/2023 15:36:08,21 109134
24/11/2023 15:36:14,14 109462
24/11/2023 15:36:19,20 109509
