Inicio: 24/11/2023 15:55:42,45 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: key-prop.txt
24/11/2023 16:27:21,17 119612
24/11/2023 16:27:32,14 120764
24/11/2023 16:27:43,22 120812
24/11/2023 16:27:54,22 142771
24/11/2023 16:28:05,14 116436
24/11/2023 16:28:16,12 129984
24/11/2023 16:28:27,12 129043
24/11/2023 16:28:38,20 131899
24/11/2023 16:28:49,15 133172
24/11/2023 16:29:00,17 113157
24/11/2023 16:29:11,18 113069
24/11/2023 16:29:22,21 126380
24/11/2023 16:29:33,16 133085
24/11/2023 16:29:44,15 133965
24/11/2023 16:29:55,21 141569
24/11/2023 16:30:06,17 117461
24/11/2023 16:30:17,16 117805
24/11/2023 16:30:28,16 130374
24/11/2023 16:30:39,22 133298
24/11/2023 16:30:50,12 133529
24/11/2023 16:31:01,15 135009
24/11/2023 16:31:12,14 134254
24/11/2023 16:31:23,18 133931
24/11/2023 16:31:34,16 133390
24/11/2023 16:31:45,17 134410
24/11/2023 16:31:56,20 134418
24/11/2023 16:32:07,18 144180
24/11/2023 16:32:18,16 115792
24/11/2023 16:32:29,22 131010
24/11/2023 16:32:40,19 133012
24/11/2023 16:32:51,19 132743
24/11/2023 16:33:02,15 134158
24/11/2023 16:33:13,17 135500
24/11/2023 16:33:24,15 135248
24/11/2023 16:33:35,14 133574
24/11/2023 16:33:46,17 115435
24/11/2023 16:33:57,22 116266
24/11/2023 16:34:08,16 140955
24/11/2023 16:34:19,13 117141
24/11/2023 16:34:30,16 114807
24/11/2023 16:34:41,20 129692
24/11/2023 16:34:52,20 115912
24/11/2023 16:35:03,12 129429
24/11/2023 16:35:14,14 130823
24/11/2023 16:35:25,11 130318
24/11/2023 16:35:36,15 130449
24/11/2023 16:35:47,18 126757
24/11/2023 16:35:58,19 127744
24/11/2023 16:36:09,18 127380
24/11/2023 16:36:20,13 139947
24/11/2023 16:36:31,17 115135
24/11/2023 16:36:42,18 127382
24/11/2023 16:36:53,13 129256
24/11/2023 16:37:04,18 129537
24/11/2023 16:37:15,14 130644
24/11/2023 16:37:26,19 130462
24/11/2023 16:37:37,21 131418
24/11/2023 16:37:48,12 130432
24/11/2023 16:37:59,22 131630
24/11/2023 16:38:10,12 131209
24/11/2023 16:38:21,15 139546
24/11/2023 16:38:32,17 114573
24/11/2023 16:38:43,20 124121
24/11/2023 16:38:54,20 127748
24/11/2023 16:39:05,21 127625
24/11/2023 16:39:16,22 128992
24/11/2023 16:39:27,12 130349
24/11/2023 16:39:38,21 129694
24/11/2023 16:39:49,13 128300
24/11/2023 16:40:00,14 128711
24/11/2023 16:40:11,21 129445
24/11/2023 16:40:22,19 129339
24/11/2023 16:40:33,20 137021
24/11/2023 16:40:44,20 117364
24/11/2023 16:40:55,13 130960
24/11/2023 16:41:06,19 132910
24/11/2023 16:41:17,17 132907
24/11/2023 16:41:28,13 134897
24/11/2023 16:41:39,19 136490
24/11/2023 16:41:50,21 134771
24/11/2023 16:42:01,22 134101
24/11/2023 16:42:12,22 135159
24/11/2023 16:42:23,19 135114
24/11/2023 16:42:34,16 123196
24/11/2023 16:42:45,12 100109
24/11/2023 16:42:56,16 132108
24/11/2023 16:43:07,13 115474
24/11/2023 16:43:18,22 133540
24/11/2023 16:43:29,15 134788
24/11/2023 16:43:40,18 136233
24/11/2023 16:43:51,12 120206
24/11/2023 16:44:02,19 134135
24/11/2023 16:44:13,19 134895
24/11/2023 16:44:24,19 135754
24/11/2023 16:44:35,12 135773
24/11/2023 16:44:46,12 145318
24/11/2023 16:44:57,17 132382
24/11/2023 16:45:08,22 132903
24/11/2023 16:45:19,15 128441
24/11/2023 16:45:30,13 134513
24/11/2023 16:45:41,18 112304
24/11/2023 16:45:52,14 130488
24/11/2023 16:46:03,18 136351
24/11/2023 16:46:14,18 136049
24/11/2023 16:46:25,22 137541
24/11/2023 16:46:36,20 137548
24/11/2023 16:46:47,13 146743
24/11/2023 16:46:58,11 120193
24/11/2023 16:47:09,20 134280
24/11/2023 16:47:20,19 136258
24/11/2023 16:47:31,22 132814
24/11/2023 16:47:42,17 137464
24/11/2023 16:47:53,13 137607
24/11/2023 16:48:04,19 138170
24/11/2023 16:48:15,14 133367
24/11/2023 16:48:26,14 124640
24/11/2023 16:48:37,13 125494
24/11/2023 16:48:48,14 125502
24/11/2023 16:48:59,16 121766
24/11/2023 16:49:10,19 122032
24/11/2023 16:49:21,19 135052
24/11/2023 16:49:32,17 136550
24/11/2023 16:49:43,16 136594
24/11/2023 16:49:54,17 138846
24/11/2023 16:50:05,21 127837
24/11/2023 16:50:16,13 138151
24/11/2023 16:50:27,15 137560
24/11/2023 16:50:38,22 138852
24/11/2023 16:50:49,14 138800
24/11/2023 16:51:00,22 146082
24/11/2023 16:51:11,16 120618
24/11/2023 16:51:22,15 131365
24/11/2023 16:51:33,17 133158
24/11/2023 16:51:44,14 132614
24/11/2023 16:51:55,15 130957
24/11/2023 16:52:06,13 133983
24/11/2023 16:52:17,21 135416
24/11/2023 16:52:28,11 127573
24/11/2023 16:52:39,18 134707
24/11/2023 16:52:50,18 135626
24/11/2023 16:53:01,19 145014
24/11/2023 16:53:12,17 117945
24/11/2023 16:53:23,22 119504
24/11/2023 16:53:34,16 132479
24/11/2023 16:53:45,16 133658
24/11/2023 16:53:56,15 136729
24/11/2023 16:54:07,22 137014
24/11/2023 16:54:18,21 137487
24/11/2023 16:54:29,15 135721
24/11/2023 16:54:40,21 115174
24/11/2023 16:54:51,29 116340
24/11/2023 16:55:02,15 116372
24/11/2023 16:55:13,21 145609
24/11/2023 16:55:24,20 121376
24/11/2023 16:55:35,12 134692
24/11/2023 16:55:46,15 136805
24/11/2023 16:55:57,15 136376
24/11/2023 16:56:08,19 137833
24/11/2023 16:56:19,12 138697
24/11/2023 16:56:30,18 138593
24/11/2023 16:56:41,22 137276
24/11/2023 16:56:52,14 137799
24/11/2023 16:57:03,17 138731
24/11/2023 16:57:14,12 143906
24/11/2023 16:57:25,20 121909
24/11/2023 16:57:36,19 122066
24/11/2023 16:57:47,14 135045
24/11/2023 16:57:58,14 134108
24/11/2023 16:58:09,19 139845
24/11/2023 16:58:20,20 139997
24/11/2023 16:58:31,21 139172
24/11/2023 16:58:42,20 137702
24/11/2023 16:58:53,18 101229
24/11/2023 16:59:04,12 96569
24/11/2023 16:59:15,21 96517
24/11/2023 16:59:26,17 148308
24/11/2023 16:59:37,19 123904
24/11/2023 16:59:48,12 120666
24/11/2023 16:59:59,19 125699
24/11/2023 17:00:10,14 122511
24/11/2023 17:00:21,12 139362
24/11/2023 17:00:32,18 139555
24/11/2023 17:00:43,14 140591
24/11/2023 17:00:54,21 139094
24/11/2023 17:01:05,21 138717
24/11/2023 17:01:16,14 140324
24/11/2023 17:01:27,18 137135
24/11/2023 17:01:38,14 124047
24/11/2023 17:01:49,18 124031
24/11/2023 17:02:00,20 141431
24/11/2023 17:02:11,21 139027
24/11/2023 17:02:22,12 141705
24/11/2023 17:02:33,13 141726
24/11/2023 17:02:44,12 140928
24/11/2023 17:02:55,14 140890
24/11/2023 17:03:06,17 140313
24/11/2023 17:03:17,18 141049
24/11/2023 17:03:28,12 140871
24/11/2023 17:03:39,13 141600
24/11/2023 17:03:50,14 121975
24/11/2023 17:04:01,22 138559
24/11/2023 17:04:12,22 140353
24/11/2023 17:04:23,15 140174
24/11/2023 17:04:34,19 138725
24/11/2023 17:04:45,14 142039
24/11/2023 17:04:56,16 143003
24/11/2023 17:05:07,14 143895
24/11/2023 17:05:18,19 142555
24/11/2023 17:05:29,13 142458
24/11/2023 17:05:40,12 152331
24/11/2023 17:05:51,21 126884
24/11/2023 17:06:02,18 147303
24/11/2023 17:06:13,22 129310
24/11/2023 17:06:24,16 141395
24/11/2023 17:06:35,19 142912
24/11/2023 17:06:46,12 144288
24/11/2023 17:06:57,12 143673
24/11/2023 17:07:08,20 134497
24/11/2023 17:07:19,22 109153
24/11/2023 17:07:30,12 110052
24/11/2023 17:07:41,17 110049
24/11/2023 17:07:52,15 153433
24/11/2023 17:08:03,16 114563
24/11/2023 17:08:14,15 134589
24/11/2023 17:08:25,14 133211
24/11/2023 17:08:36,21 142231
24/11/2023 17:08:47,13 144646
24/11/2023 17:08:58,17 144059
