Inicio: 22/11/2023 16:55:05,55 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: unloadAsync.txt
22/11/2023 17:26:12,20 115026
22/11/2023 17:26:23,20 81000
22/11/2023 17:26:34,15 77440
22/11/2023 17:26:45,17 77424
22/11/2023 17:26:56,18 116566
22/11/2023 17:27:07,12 117179
22/11/2023 17:27:18,20 118199
22/11/2023 17:27:29,13 115895
22/11/2023 17:27:40,17 81246
22/11/2023 17:27:51,21 78118
22/11/2023 17:28:02,14 117240
22/11/2023 17:28:13,14 118184
22/11/2023 17:28:23,15 116978
22/11/2023 17:28:34,21 115540
22/11/2023 17:28:45,12 116602
22/11/2023 17:28:56,16 117636
22/11/2023 17:29:07,21 117652
22/11/2023 17:29:18,12 117372
22/11/2023 17:29:29,15 118408
22/11/2023 17:29:40,21 117278
22/11/2023 17:29:51,15 115776
22/11/2023 17:30:02,14 116492
22/11/2023 17:30:13,16 114447
22/11/2023 17:30:24,18 113983
22/11/2023 17:30:35,17 77200
22/11/2023 17:30:46,16 113403
22/11/2023 17:30:57,14 114373
22/11/2023 17:31:08,19 112150
22/11/2023 17:31:19,13 112888
22/11/2023 17:31:30,13 113996
22/11/2023 17:31:40,21 113882
22/11/2023 17:31:51,16 114013
22/11/2023 17:32:02,18 114064
22/11/2023 17:32:13,18 111710
22/11/2023 17:32:24,13 108672
22/11/2023 17:32:35,17 110558
22/11/2023 17:32:46,19 111764
22/11/2023 17:32:57,15 111704
22/11/2023 17:33:08,17 112111
22/11/2023 17:33:19,13 112055
22/11/2023 17:33:30,13 114950
22/11/2023 17:33:41,20 115177
22/11/2023 17:33:52,22 113423
22/11/2023 17:34:03,22 113387
22/11/2023 17:34:14,20 113794
22/11/2023 17:34:25,13 114800
22/11/2023 17:34:36,20 113940
22/11/2023 17:34:47,15 112574
22/11/2023 17:34:58,22 113473
22/11/2023 17:35:09,16 114624
22/11/2023 17:35:20,12 114568
22/11/2023 17:35:30,15 114519
22/11/2023 17:35:40,18 115002
22/11/2023 17:35:51,20 114229
22/11/2023 17:36:02,15 112705
22/11/2023 17:36:13,14 113631
22/11/2023 17:36:24,12 114831
22/11/2023 17:36:34,15 114639
22/11/2023 17:36:45,12 78457
22/11/2023 17:36:55,14 75349
22/11/2023 17:37:06,19 114321
22/11/2023 17:37:17,19 79788
22/11/2023 17:37:28,24 114541
22/11/2023 17:37:39,17 115025
22/11/2023 17:37:50,17 114855
22/11/2023 17:38:01,14 115184
22/11/2023 17:38:12,17 114803
22/11/2023 17:38:23,13 115851
22/11/2023 17:38:34,12 113598
22/11/2023 17:38:45,19 114352
22/11/2023 17:38:56,15 115443
22/11/2023 17:39:07,17 115458
22/11/2023 17:39:18,13 115372
22/11/2023 17:39:29,14 115102
22/11/2023 17:39:40,14 116026
22/11/2023 17:39:51,14 114953
22/11/2023 17:40:02,11 117098
22/11/2023 17:40:12,22 115146
22/11/2023 17:40:23,21 114705
22/11/2023 17:40:34,17 115969
22/11/2023 17:40:45,18 114798
22/11/2023 17:40:56,19 113432
22/11/2023 17:41:07,12 114120
22/11/2023 17:41:17,17 115406
22/11/2023 17:41:28,16 115546
22/11/2023 17:41:38,19 115131
