Inicio: 22/11/2023 14:50:35,02 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 60 min - Log: simple-videos.txt
22/11/2023 15:07:10,18 116300
22/11/2023 15:07:16,20 113616
22/11/2023 15:07:22,19 113428
22/11/2023 15:07:28,18 115764
22/11/2023 15:07:34,16 114200
22/11/2023 15:07:40,14 117120
22/11/2023 15:07:45,14 114844
22/11/2023 15:07:51,11 114792
22/11/2023 15:07:56,14 114106
22/11/2023 15:08:02,18 114036
22/11/2023 15:08:08,22 117426
22/11/2023 15:08:14,20 114794
22/11/2023 15:08:20,16 114794
22/11/2023 15:08:26,18 116565
22/11/2023 15:08:32,12 113857
22/11/2023 15:08:38,20 115771
22/11/2023 15:08:44,13 114358
22/11/2023 15:08:50,29 114514
22/11/2023 15:08:56,21 115166
22/11/2023 15:09:02,48 115222
22/11/2023 15:09:08,20 114610
22/11/2023 15:09:14,15 114422
22/11/2023 15:09:20,22 117402
22/11/2023 15:09:26,20 115038
22/11/2023 15:09:32,21 115018
22/11/2023 15:09:38,22 116495
22/11/2023 15:09:44,19 113727
22/11/2023 15:09:50,15 113599
22/11/2023 15:09:56,18 115740
22/11/2023 15:10:02,13 114148
22/11/2023 15:10:08,19 117191
22/11/2023 15:10:14,21 115000
22/11/2023 15:10:20,22 114699
22/11/2023 15:10:26,16 114219
22/11/2023 15:10:32,14 114211
22/11/2023 15:10:38,16 117697
22/11/2023 15:10:44,21 114758
22/11/2023 15:10:50,18 115916
22/11/2023 15:10:56,20 113404
22/11/2023 15:11:02,22 113434
22/11/2023 15:11:08,20 115336
22/11/2023 15:11:14,17 113948
22/11/2023 15:11:20,15 116997
22/11/2023 15:11:26,12 114713
22/11/2023 15:11:31,14 114555
22/11/2023 15:11:37,13 114077
22/11/2023 15:11:43,22 113941
22/11/2023 15:11:49,17 117200
22/11/2023 15:11:55,13 114755
22/11/2023 15:12:01,18 114731
22/11/2023 15:12:07,22 116154
22/11/2023 15:12:13,12 113466
22/11/2023 15:12:19,18 113040
22/11/2023 15:12:25,14 115169
22/11/2023 15:12:31,22 110534
22/11/2023 15:12:37,17 114174
22/11/2023 15:12:43,18 114226
22/11/2023 15:12:49,13 113854
22/11/2023 15:12:55,14 113462
22/11/2023 15:13:01,13 113450
22/11/2023 15:13:07,18 116829
22/11/2023 15:13:13,12 113846
22/11/2023 15:13:18,15 79669
22/11/2023 15:13:24,20 112796
22/11/2023 15:13:30,15 112762
22/11/2023 15:13:35,18 114558
22/11/2023 15:13:41,17 113310
22/11/2023 15:13:47,21 116392
22/11/2023 15:13:53,18 114126
22/11/2023 15:13:59,20 114142
22/11/2023 15:14:05,21 113526
22/11/2023 15:14:11,20 113386
22/11/2023 15:14:17,21 116166
22/11/2023 15:14:23,19 113786
22/11/2023 15:14:29,13 113754
22/11/2023 15:14:34,13 115161
22/11/2023 15:14:40,12 112623
22/11/2023 15:14:45,15 112420
22/11/2023 15:14:51,14 114443
22/11/2023 15:14:56,13 112852
22/11/2023 15:15:01,22 115983
22/11/2023 15:15:07,19 113889
22/11/2023 15:15:13,17 113857
22/11/2023 15:15:19,16 113285
22/11/2023 15:15:24,11 113129
22/11/2023 15:15:29,13 113133
22/11/2023 15:15:34,21 116591
22/11/2023 15:15:40,15 113730
22/11/2023 15:15:46,17 113658
22/11/2023 15:15:52,14 115174
22/11/2023 15:15:58,15 112360
22/11/2023 15:16:03,11 114216
22/11/2023 15:16:08,13 112788
22/11/2023 15:16:13,16 112762
22/11/2023 15:16:19,12 115837
22/11/2023 15:16:20,88 113149
22/11/2023 15:16:26,17 113577
22/11/2023 15:16:32,22 113174
22/11/2023 15:16:38,19 112857
22/11/2023 15:16:44,13 112857
22/11/2023 15:16:50,12 113853
22/11/2023 15:16:56,14 113357
