Inicio: 25/11/2023  2:16:57,29 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: key-prop-no-anonymous-func.txt
25/11/2023 02:33:41,18 91578
25/11/2023 02:33:47,17 87394
25/11/2023 02:33:53,15 87231
25/11/2023 02:33:59,11 99376
25/11/2023 02:34:04,18 96314
25/11/2023 02:34:10,20 96426
25/11/2023 02:34:16,14 101360
25/11/2023 02:34:22,16 98618
25/11/2023 02:34:28,25 91167
25/11/2023 02:34:34,22 89419
25/11/2023 02:34:40,21 89179
25/11/2023 02:34:46,19 88935
25/11/2023 02:34:52,19 88935
25/11/2023 02:34:58,11 96525
25/11/2023 02:35:04,19 94923
25/11/2023 02:35:10,13 95386
25/11/2023 02:35:15,18 95332
25/11/2023 02:35:21,18 89501
25/11/2023 02:35:27,18 84466
25/11/2023 02:35:33,19 89140
25/11/2023 02:35:39,17 87153
25/11/2023 02:35:45,11 87574
25/11/2023 02:35:50,13 96333
25/11/2023 02:35:56,12 96685
25/11/2023 02:36:02,10 96672
25/11/2023 02:36:08,21 88658
25/11/2023 02:36:14,17 85673
25/11/2023 02:36:20,16 92037
25/11/2023 02:36:26,16 89310
25/11/2023 02:36:32,14 94820
25/11/2023 02:36:38,20 93237
25/11/2023 02:36:44,17 93132
25/11/2023 02:36:50,21 92851
25/11/2023 02:36:56,16 92758
25/11/2023 02:37:02,21 104934
25/11/2023 02:37:08,21 105334
25/11/2023 02:37:14,13 91380
25/11/2023 02:37:20,19 91622
25/11/2023 02:37:26,12 93332
25/11/2023 02:37:32,15 88300
25/11/2023 02:37:38,18 94574
25/11/2023 02:37:44,12 93798
25/11/2023 02:37:49,16 94686
25/11/2023 02:37:55,17 85861
25/11/2023 02:38:01,18 92500
25/11/2023 02:38:07,17 92364
25/11/2023 02:38:13,21 96995
25/11/2023 02:38:19,20 94083
25/11/2023 02:38:25,21 90838
25/11/2023 02:38:31,13 111709
25/11/2023 02:38:37,20 90456
25/11/2023 02:38:43,17 88732
25/11/2023 02:38:49,13 88718
25/11/2023 02:38:55,20 88409
25/11/2023 02:39:01,15 88277
25/11/2023 02:39:07,21 98817
25/11/2023 02:39:13,17 99321
25/11/2023 02:39:19,18 94607
25/11/2023 02:39:25,14 94960
25/11/2023 02:39:31,21 90588
25/11/2023 02:39:37,13 85534
25/11/2023 02:39:43,19 90138
25/11/2023 02:39:49,20 89510
25/11/2023 02:39:55,15 85807
25/11/2023 02:40:01,14 84614
25/11/2023 02:40:07,13 113025
25/11/2023 02:40:13,21 112921
25/11/2023 02:40:19,12 98810
25/11/2023 02:40:25,12 95813
25/11/2023 02:40:31,20 95779
25/11/2023 02:40:37,12 97984
25/11/2023 02:40:43,14 92611
25/11/2023 02:40:49,19 90927
25/11/2023 02:40:55,16 90889
25/11/2023 02:41:01,13 90871
25/11/2023 02:41:07,18 90429
25/11/2023 02:41:13,22 114245
25/11/2023 02:41:19,17 114937
25/11/2023 02:41:25,13 89897
25/11/2023 02:41:31,20 90297
25/11/2023 02:41:37,22 98357
25/11/2023 02:41:43,15 92863
25/11/2023 02:41:49,19 91608
25/11/2023 02:41:55,14 90999
25/11/2023 02:42:00,18 92949
25/11/2023 02:42:06,20 92337
25/11/2023 02:42:12,13 96139
25/11/2023 02:42:18,21 95881
25/11/2023 02:42:24,12 89419
25/11/2023 02:42:30,21 86510
25/11/2023 02:42:36,13 86491
25/11/2023 02:42:42,17 88149
25/11/2023 02:42:48,18 89538
25/11/2023 02:42:54,12 87875
25/11/2023 02:43:00,19 87768
25/11/2023 02:43:06,13 87761
25/11/2023 02:43:12,11 87653
25/11/2023 02:43:18,16 99700
25/11/2023 02:43:24,12 100157
25/11/2023 02:43:30,21 91612
25/11/2023 02:43:36,17 92300
25/11/2023 02:43:42,17 92346
25/11/2023 02:43:48,19 94090
25/11/2023 02:43:54,15 86107
25/11/2023 02:44:00,19 85858
25/11/2023 02:44:06,20 90510
25/11/2023 02:44:12,16 89882
25/11/2023 02:44:18,15 92213
25/11/2023 02:44:24,19 91937
25/11/2023 02:44:30,16 90069
25/11/2023 02:44:36,21 87131
25/11/2023 02:44:42,17 87103
25/11/2023 02:44:48,19 95258
25/11/2023 02:44:54,13 90763
25/11/2023 02:45:00,18 89071
25/11/2023 02:45:06,12 88957
25/11/2023 02:45:12,19 88921
25/11/2023 02:45:18,11 88677
25/11/2023 02:45:24,19 97386
25/11/2023 02:45:30,15 97976
25/11/2023 02:45:36,16 92574
25/11/2023 02:45:42,17 93332
25/11/2023 02:45:48,22 93470
25/11/2023 02:45:54,21 92139
25/11/2023 02:46:00,18 90571
25/11/2023 02:46:06,16 90223
25/11/2023 02:46:12,12 88842
25/11/2023 02:46:18,21 88246
25/11/2023 02:46:24,15 93611
25/11/2023 02:46:30,17 93301
25/11/2023 02:46:36,16 91242
25/11/2023 02:46:42,14 88296
25/11/2023 02:46:48,20 88296
25/11/2023 02:46:54,18 89941
25/11/2023 02:47:00,13 94305
25/11/2023 02:47:06,21 92676
25/11/2023 02:47:12,16 92585
25/11/2023 02:47:18,21 92597
25/11/2023 02:47:24,19 92534
25/11/2023 02:47:30,20 102598
25/11/2023 02:47:36,13 101907
25/11/2023 02:47:42,21 99926
25/11/2023 02:47:48,15 100816
25/11/2023 02:47:54,19 100882
25/11/2023 02:48:00,21 116039
25/11/2023 02:48:06,20 101904
25/11/2023 02:48:12,18 101552
25/11/2023 02:48:18,20 103586
25/11/2023 02:48:24,15 97668
25/11/2023 02:48:30,15 90946
25/11/2023 02:48:36,20 90615
25/11/2023 02:48:42,12 92357
25/11/2023 02:48:48,13 89415
25/11/2023 02:48:54,12 89415
25/11/2023 02:49:00,19 87837
25/11/2023 02:49:06,20 97075
25/11/2023 02:49:12,20 95368
25/11/2023 02:49:18,22 95342
25/11/2023 02:49:24,13 95290
25/11/2023 02:49:30,21 94987
25/11/2023 02:49:36,16 107036
25/11/2023 02:49:42,21 104445
25/11/2023 02:49:48,21 86635
25/11/2023 02:49:54,12 87449
25/11/2023 02:50:00,19 87515
25/11/2023 02:50:06,19 89280
25/11/2023 02:50:12,12 84482
25/11/2023 02:50:18,11 84154
25/11/2023 02:50:24,21 88860
25/11/2023 02:50:30,12 88296
25/11/2023 02:50:35,13 106074
25/11/2023 02:50:41,12 105952
25/11/2023 02:50:47,20 89232
25/11/2023 02:50:53,21 85781
25/11/2023 02:50:59,12 85063
25/11/2023 02:51:05,20 90258
25/11/2023 02:51:11,17 87250
25/11/2023 02:51:17,20 93071
25/11/2023 02:51:23,15 91072
25/11/2023 02:51:29,15 90078
25/11/2023 02:51:35,15 91046
25/11/2023 02:51:41,17 91002
25/11/2023 02:51:47,18 104018
25/11/2023 02:51:53,14 87681
25/11/2023 02:51:59,21 88216
25/11/2023 02:52:05,14 88251
25/11/2023 02:52:11,16 86932
25/11/2023 02:52:17,19 81626
25/11/2023 02:52:23,21 90282
25/11/2023 02:52:29,21 86738
25/11/2023 02:52:35,17 86702
25/11/2023 02:52:41,19 90411
25/11/2023 02:52:47,16 90333
25/11/2023 02:52:53,12 88801
25/11/2023 02:52:59,19 85764
25/11/2023 02:53:05,23 85724
25/11/2023 02:53:11,20 106183
25/11/2023 02:53:17,13 103428
25/11/2023 02:53:23,17 92230
25/11/2023 02:53:29,16 90327
25/11/2023 02:53:35,12 90171
25/11/2023 02:53:41,11 90087
25/11/2023 02:53:47,15 89911
25/11/2023 02:53:53,20 96231
25/11/2023 02:53:59,16 87449
25/11/2023 02:54:05,21 88361
25/11/2023 02:54:11,19 88450
25/11/2023 02:54:17,14 101682
25/11/2023 02:54:23,22 96326
25/11/2023 02:54:29,16 84565
25/11/2023 02:54:35,18 88909
25/11/2023 02:54:41,16 88741
25/11/2023 02:54:47,15 89648
25/11/2023 02:54:53,17 89578
25/11/2023 02:54:59,23 94134
25/11/2023 02:55:05,20 91209
25/11/2023 02:55:11,12 91189
25/11/2023 02:55:17,13 90024
25/11/2023 02:55:23,19 87417
25/11/2023 02:55:29,13 98695
25/11/2023 02:55:35,21 96998
25/11/2023 02:55:41,13 96968
25/11/2023 02:55:47,14 96972
25/11/2023 02:55:53,18 96848
25/11/2023 02:55:59,12 107697
25/11/2023 02:56:05,19 91323
25/11/2023 02:56:11,16 92229
25/11/2023 02:56:17,18 92292
25/11/2023 02:56:23,13 103218
25/11/2023 02:56:29,20 97994
25/11/2023 02:56:35,15 88085
25/11/2023 02:56:41,19 87794
25/11/2023 02:56:47,12 87750
25/11/2023 02:56:53,18 89315
25/11/2023 02:56:59,22 89259
25/11/2023 02:57:05,16 95150
25/11/2023 02:57:11,21 92225
25/11/2023 02:57:17,13 92181
25/11/2023 02:57:23,17 98320
25/11/2023 02:57:29,22 93555
25/11/2023 02:57:35,13 93586
25/11/2023 02:57:41,22 89856
25/11/2023 02:57:47,19 89330
25/11/2023 02:57:53,20 89310
25/11/2023 02:57:59,14 89218
25/11/2023 02:58:05,18 103032
25/11/2023 02:58:11,22 86335
25/11/2023 02:58:17,20 87231
25/11/2023 02:58:23,12 87299
25/11/2023 02:58:29,17 100478
25/11/2023 02:58:35,22 95052
25/11/2023 02:58:41,20 92078
25/11/2023 02:58:47,21 95042
25/11/2023 02:58:53,17 94902
25/11/2023 02:58:59,22 90442
25/11/2023 02:59:05,15 90453
25/11/2023 02:59:11,13 95206
25/11/2023 02:59:17,19 92304
25/11/2023 02:59:23,14 92255
25/11/2023 02:59:29,18 89397
25/11/2023 02:59:35,12 86733
25/11/2023 02:59:41,15 95495
25/11/2023 02:59:47,12 93821
25/11/2023 02:59:53,20 93733
25/11/2023 02:59:59,12 93686
25/11/2023 03:00:05,21 93715
25/11/2023 03:00:11,19 105088
25/11/2023 03:00:17,19 92869
25/11/2023 03:00:23,22 93755
25/11/2023 03:00:29,19 93797
25/11/2023 03:00:35,15 92696
25/11/2023 03:00:41,13 87356
25/11/2023 03:00:47,22 103790
25/11/2023 03:00:53,20 89305
25/11/2023 03:00:59,20 89289
25/11/2023 03:01:05,14 100445
25/11/2023 03:01:11,14 100453
25/11/2023 03:01:17,14 89400
25/11/2023 03:01:23,16 89730
25/11/2023 03:01:29,14 89658
25/11/2023 03:01:35,17 97496
25/11/2023 03:01:41,20 94815
25/11/2023 03:01:47,17 91057
25/11/2023 03:01:53,15 89332
25/11/2023 03:01:59,20 89326
25/11/2023 03:02:05,17 89359
25/11/2023 03:02:11,14 89323
25/11/2023 03:02:17,12 115942
25/11/2023 03:02:23,13 96840
25/11/2023 03:02:29,11 97527
25/11/2023 03:02:35,12 97604
25/11/2023 03:02:41,16 93164
25/11/2023 03:02:47,20 87908
25/11/2023 03:02:53,17 97830
25/11/2023 03:02:59,15 88695
25/11/2023 03:03:05,21 88743
25/11/2023 03:03:11,22 112178
25/11/2023 03:03:17,18 112163
25/11/2023 03:03:23,17 92040
25/11/2023 03:03:29,21 94998
25/11/2023 03:03:35,18 94890
25/11/2023 03:03:41,17 102827
25/11/2023 03:03:47,18 100146
25/11/2023 03:03:53,18 93279
25/11/2023 03:03:59,11 91510
25/11/2023 03:04:05,12 91514
25/11/2023 03:04:11,14 91510
25/11/2023 03:04:17,13 91506
25/11/2023 03:04:23,14 114545
25/11/2023 03:04:29,17 96876
25/11/2023 03:04:35,17 97338
25/11/2023 03:04:41,12 97460
25/11/2023 03:04:47,18 97714
25/11/2023 03:04:53,22 92454
25/11/2023 03:04:59,16 94749
25/11/2023 03:05:05,19 109681
25/11/2023 03:05:11,13 109633
