Inicio: 25/11/2023  1:07:58,18 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: keypropflag2.txt
25/11/2023 01:25:16,17 143778
25/11/2023 01:25:22,12 142100
25/11/2023 01:25:28,16 141928
25/11/2023 01:25:34,17 141975
25/11/2023 01:25:40,16 141951
25/11/2023 01:25:46,13 150947
25/11/2023 01:25:52,16 151206
25/11/2023 01:25:58,16 123794
25/11/2023 01:26:04,18 123940
25/11/2023 01:26:10,17 145303
25/11/2023 01:26:16,12 140275
25/11/2023 01:26:22,12 140449
25/11/2023 01:26:28,19 139637
25/11/2023 01:26:34,19 140705
25/11/2023 01:26:40,18 142907
25/11/2023 01:26:46,12 143187
25/11/2023 01:26:52,16 143191
25/11/2023 01:26:58,17 144474
25/11/2023 01:27:04,12 141473
25/11/2023 01:27:10,16 144706
25/11/2023 01:27:16,20 141685
25/11/2023 01:27:22,14 142357
25/11/2023 01:27:28,21 140657
25/11/2023 01:27:34,11 140557
25/11/2023 01:27:40,19 140573
25/11/2023 01:27:46,21 140621
25/11/2023 01:27:52,14 151382
25/11/2023 01:27:58,15 151786
25/11/2023 01:28:04,13 126376
25/11/2023 01:28:10,17 126570
25/11/2023 01:28:16,20 146325
25/11/2023 01:28:22,17 141377
25/11/2023 01:28:28,20 141436
25/11/2023 01:28:34,21 140636
25/11/2023 01:28:40,21 141712
25/11/2023 01:28:46,13 142327
25/11/2023 01:28:52,16 142567
25/11/2023 01:28:58,13 142519
25/11/2023 01:29:04,12 106500
25/11/2023 01:29:10,15 101840
25/11/2023 01:29:16,16 143165
25/11/2023 01:29:22,20 143410
25/11/2023 01:29:28,20 145781
25/11/2023 01:29:34,22 144189
25/11/2023 01:29:40,14 144045
25/11/2023 01:29:46,15 144017
25/11/2023 01:29:52,18 143985
25/11/2023 01:29:58,21 152977
25/11/2023 01:30:04,15 153381
25/11/2023 01:30:10,21 125937
25/11/2023 01:30:16,20 126083
25/11/2023 01:30:22,22 147529
25/11/2023 01:30:28,15 142421
25/11/2023 01:30:34,15 142559
25/11/2023 01:30:40,22 141815
25/11/2023 01:30:46,19 142882
25/11/2023 01:30:52,22 144966
25/11/2023 01:30:58,11 145262
25/11/2023 01:31:04,16 145230
25/11/2023 01:31:10,16 148242
25/11/2023 01:31:16,16 145346
25/11/2023 01:31:22,19 146872
25/11/2023 01:31:28,12 144210
25/11/2023 01:31:34,22 144814
25/11/2023 01:31:40,11 142978
25/11/2023 01:31:46,16 142860
25/11/2023 01:31:52,21 142852
25/11/2023 01:31:58,14 142848
25/11/2023 01:32:04,16 153662
25/11/2023 01:32:10,14 153870
25/11/2023 01:32:16,16 128105
25/11/2023 01:32:22,12 128361
25/11/2023 01:32:28,13 147952
25/11/2023 01:32:34,16 142948
25/11/2023 01:32:40,19 143105
25/11/2023 01:32:46,12 142345
25/11/2023 01:32:52,17 143414
25/11/2023 01:32:58,21 144012
25/11/2023 01:33:04,15 144260
25/11/2023 01:33:10,17 144208
25/11/2023 01:33:16,16 148839
25/11/2023 01:33:22,21 145867
25/11/2023 01:33:28,16 147553
25/11/2023 01:33:34,18 144868
25/11/2023 01:33:40,15 145748
25/11/2023 01:33:46,17 143990
25/11/2023 01:33:52,22 143915
25/11/2023 01:33:58,15 143911
25/11/2023 01:34:04,16 143667
25/11/2023 01:34:10,16 154321
25/11/2023 01:34:16,18 154813
25/11/2023 01:34:22,14 129096
25/11/2023 01:34:28,12 129173
25/11/2023 01:34:34,17 148982
25/11/2023 01:34:40,12 143946
25/11/2023 01:34:46,21 144040
25/11/2023 01:34:52,20 143324
25/11/2023 01:34:58,21 144296
25/11/2023 01:35:04,18 144854
25/11/2023 01:35:10,15 145194
25/11/2023 01:35:16,17 145054
25/11/2023 01:35:22,16 149713
25/11/2023 01:35:28,17 146692
25/11/2023 01:35:34,20 148361
25/11/2023 01:35:40,14 145659
25/11/2023 01:35:46,12 148008
25/11/2023 01:35:52,11 146324
25/11/2023 01:35:58,13 146059
25/11/2023 01:36:04,11 146083
25/11/2023 01:36:10,14 146087
25/11/2023 01:36:16,21 155017
25/11/2023 01:36:22,14 155455
25/11/2023 01:36:28,19 129613
25/11/2023 01:36:34,20 129737
25/11/2023 01:36:40,14 149493
25/11/2023 01:36:46,14 144496
25/11/2023 01:36:52,14 144320
25/11/2023 01:36:58,16 143604
25/11/2023 01:37:04,18 144569
25/11/2023 01:37:10,12 147009
25/11/2023 01:37:16,20 147149
25/11/2023 01:37:22,21 147145
25/11/2023 01:37:28,19 150240
25/11/2023 01:37:34,14 147264
25/11/2023 01:37:40,18 148900
25/11/2023 01:37:46,17 146178
25/11/2023 01:37:52,14 148600
25/11/2023 01:37:58,16 146939
25/11/2023 01:38:04,19 146845
25/11/2023 01:38:10,15 146619
25/11/2023 01:38:16,22 146627
25/11/2023 01:38:22,13 155574
25/11/2023 01:38:28,13 155917
25/11/2023 01:38:34,16 130092
25/11/2023 01:38:40,15 130336
25/11/2023 01:38:46,12 150046
25/11/2023 01:38:52,11 144974
25/11/2023 01:38:58,16 145115
25/11/2023 01:39:04,18 144612
25/11/2023 01:39:10,19 144411
25/11/2023 01:39:16,17 146603
25/11/2023 01:39:22,13 146824
25/11/2023 01:39:28,13 146775
25/11/2023 01:39:34,20 151409
25/11/2023 01:39:40,12 148433
25/11/2023 01:39:46,19 150108
25/11/2023 01:39:52,13 147409
25/11/2023 01:39:58,21 148048
25/11/2023 01:40:04,12 146436
25/11/2023 01:40:10,16 146350
25/11/2023 01:40:16,13 146366
25/11/2023 01:40:22,18 146109
25/11/2023 01:40:28,18 156739
25/11/2023 01:40:34,11 157231
25/11/2023 01:40:40,19 131464
25/11/2023 01:40:46,16 131489
25/11/2023 01:40:52,13 151247
25/11/2023 01:40:58,11 146211
25/11/2023 01:41:04,19 146377
25/11/2023 01:41:10,21 145650
25/11/2023 01:41:16,22 146593
25/11/2023 01:41:22,15 108517
25/11/2023 01:41:28,12 106199
25/11/2023 01:41:34,19 106143
25/11/2023 01:41:40,16 147275
25/11/2023 01:41:46,18 147402
25/11/2023 01:41:52,14 150626
25/11/2023 01:41:58,22 148017
25/11/2023 01:42:04,13 148921
25/11/2023 01:42:10,16 147336
25/11/2023 01:42:16,15 147203
25/11/2023 01:42:22,15 147215
25/11/2023 01:42:28,18 147238
25/11/2023 01:42:34,18 157621
25/11/2023 01:42:40,16 158109
25/11/2023 01:42:46,21 132292
25/11/2023 01:42:52,14 132524
25/11/2023 01:42:58,17 152326
25/11/2023 01:43:04,19 146794
25/11/2023 01:43:10,21 146919
25/11/2023 01:43:16,11 146194
25/11/2023 01:43:22,13 147135
25/11/2023 01:43:28,19 149503
25/11/2023 01:43:34,22 149687
25/11/2023 01:43:40,19 149648
25/11/2023 01:43:46,18 111561
25/11/2023 01:43:52,13 106845
25/11/2023 01:43:58,19 148328
25/11/2023 01:44:04,12 148558
25/11/2023 01:44:10,16 149282
25/11/2023 01:44:16,11 147609
25/11/2023 01:44:22,16 147576
25/11/2023 01:44:28,19 147552
25/11/2023 01:44:34,18 147580
25/11/2023 01:44:40,16 158209
25/11/2023 01:44:46,17 158653
25/11/2023 01:44:52,14 132629
25/11/2023 01:44:58,18 132849
25/11/2023 01:45:04,16 152522
25/11/2023 01:45:10,13 147384
25/11/2023 01:45:16,16 147471
25/11/2023 01:45:22,14 146727
25/11/2023 01:45:28,19 147863
25/11/2023 01:45:34,21 150095
25/11/2023 01:45:40,11 150286
25/11/2023 01:45:46,20 150271
25/11/2023 01:45:52,12 153200
25/11/2023 01:45:58,18 150268
25/11/2023 01:46:04,17 151830
25/11/2023 01:46:10,13 149134
25/11/2023 01:46:16,15 149780
25/11/2023 01:46:22,22 148208
25/11/2023 01:46:28,17 148038
25/11/2023 01:46:34,21 148069
25/11/2023 01:46:40,14 148061
25/11/2023 01:46:46,15 158690
25/11/2023 01:46:52,12 159104
25/11/2023 01:46:58,21 133282
25/11/2023 01:47:04,18 133205
25/11/2023 01:47:10,11 148014
25/11/2023 01:47:16,21 141586
25/11/2023 01:47:22,15 141788
25/11/2023 01:47:28,21 140241
25/11/2023 01:47:34,21 141719
25/11/2023 01:47:40,13 143202
25/11/2023 01:47:46,14 143202
25/11/2023 01:47:52,18 143185
25/11/2023 01:47:58,13 147851
25/11/2023 01:48:04,19 144474
25/11/2023 01:48:10,18 144573
25/11/2023 01:48:16,12 141324
25/11/2023 01:48:22,19 106444
25/11/2023 01:48:28,18 102756
25/11/2023 01:48:34,13 102704
25/11/2023 01:48:40,15 102720
25/11/2023 01:48:46,22 102716
25/11/2023 01:48:52,12 153508
25/11/2023 01:48:58,13 153371
25/11/2023 01:49:04,18 126217
25/11/2023 01:49:10,16 126441
25/11/2023 01:49:16,21 147820
25/11/2023 01:49:22,15 142721
25/11/2023 01:49:28,21 142919
25/11/2023 01:49:34,14 142159
25/11/2023 01:49:40,16 143131
25/11/2023 01:49:46,12 145135
25/11/2023 01:49:52,13 145323
25/11/2023 01:49:58,18 145199
25/11/2023 01:50:04,13 148216
25/11/2023 01:50:10,20 145210
25/11/2023 01:50:16,21 146883
25/11/2023 01:50:22,22 144117
25/11/2023 01:50:28,17 144740
25/11/2023 01:50:34,21 143152
25/11/2023 01:50:40,17 143114
25/11/2023 01:50:46,19 143066
25/11/2023 01:50:52,19 143027
25/11/2023 01:50:58,18 153478
25/11/2023 01:51:04,14 153872
25/11/2023 01:51:10,18 128473
25/11/2023 01:51:16,22 128677
25/11/2023 01:51:22,13 148358
25/11/2023 01:51:28,18 143330
25/11/2023 01:51:34,13 143414
25/11/2023 01:51:40,14 142758
25/11/2023 01:51:46,22 143954
25/11/2023 01:51:52,15 146391
25/11/2023 01:51:58,20 146573
25/11/2023 01:52:04,12 146533
25/11/2023 01:52:10,20 149204
25/11/2023 01:52:16,13 146184
25/11/2023 01:52:22,16 146172
25/11/2023 01:52:28,17 143307
25/11/2023 01:52:34,12 147237
25/11/2023 01:52:40,19 145547
25/11/2023 01:52:46,14 145509
25/11/2023 01:52:52,16 145539
25/11/2023 01:52:58,18 145514
25/11/2023 01:53:04,17 154445
25/11/2023 01:53:10,12 154948
25/11/2023 01:53:16,13 129112
25/11/2023 01:53:22,18 129364
25/11/2023 01:53:28,21 149074
25/11/2023 01:53:34,18 144036
25/11/2023 01:53:40,15 144110
25/11/2023 01:53:46,15 143462
25/11/2023 01:53:52,18 144458
25/11/2023 01:53:58,20 145031
25/11/2023 01:54:04,18 145250
25/11/2023 01:54:10,20 145024
25/11/2023 01:54:16,14 149695
25/11/2023 01:54:22,18 146646
25/11/2023 01:54:28,20 148119
25/11/2023 01:54:34,13 145490
25/11/2023 01:54:40,20 147928
25/11/2023 01:54:46,13 146240
25/11/2023 01:54:52,20 146170
25/11/2023 01:54:58,12 146194
25/11/2023 01:55:04,16 146202
25/11/2023 01:55:10,21 155104
25/11/2023 01:55:16,18 155510
25/11/2023 01:55:22,12 129878
25/11/2023 01:55:28,13 130234
25/11/2023 01:55:34,15 150250
25/11/2023 01:55:40,19 144783
25/11/2023 01:55:46,12 144933
25/11/2023 01:55:52,19 144257
25/11/2023 01:55:58,18 145171
25/11/2023 01:56:04,15 147482
25/11/2023 01:56:10,19 147809
25/11/2023 01:56:16,18 147676
25/11/2023 01:56:22,16 150593
25/11/2023 01:56:28,15 147608
25/11/2023 01:56:34,20 148990
25/11/2023 01:56:40,16 146425
25/11/2023 01:56:46,17 148809
25/11/2023 01:56:52,18 147162
25/11/2023 01:56:58,12 147054
25/11/2023 01:57:04,21 147128
25/11/2023 01:57:10,17 147105
25/11/2023 01:57:16,16 155959
25/11/2023 01:57:22,15 156547
25/11/2023 01:57:28,17 130516
25/11/2023 01:57:34,22 130809
25/11/2023 01:57:40,17 150529
25/11/2023 01:57:46,21 145518
25/11/2023 01:57:52,13 145594
25/11/2023 01:57:58,14 144930
25/11/2023 01:58:04,19 145812
25/11/2023 01:58:10,13 147966
25/11/2023 01:58:16,12 148454
25/11/2023 01:58:22,13 148391
25/11/2023 01:58:28,13 151525
25/11/2023 01:58:34,22 148609
25/11/2023 01:58:40,16 111952
25/11/2023 01:58:46,19 145656
25/11/2023 01:58:52,19 147814
25/11/2023 01:58:58,14 146070
25/11/2023 01:59:04,25 146052
25/11/2023 01:59:10,15 146030
25/11/2023 01:59:16,18 146048
25/11/2023 01:59:22,22 156684
25/11/2023 01:59:28,15 157061
25/11/2023 01:59:34,14 131257
25/11/2023 01:59:40,20 131612
25/11/2023 01:59:46,15 151275
25/11/2023 01:59:52,21 146267
25/11/2023 01:59:58,22 146365
25/11/2023 02:00:04,18 145681
25/11/2023 02:00:10,18 146501
25/11/2023 02:00:16,18 148779
25/11/2023 02:00:22,16 149259
25/11/2023 02:00:28,14 149135
25/11/2023 02:00:34,21 152163
25/11/2023 02:00:40,17 149183
25/11/2023 02:00:46,22 114145
25/11/2023 02:00:52,16 148034
25/11/2023 02:00:58,21 150408
25/11/2023 02:01:04,12 148542
25/11/2023 02:01:10,15 148452
25/11/2023 02:01:16,21 148460
25/11/2023 02:01:22,12 148385
25/11/2023 02:01:28,16 159022
25/11/2023 02:01:34,20 159621
25/11/2023 02:01:40,14 131987
25/11/2023 02:01:46,20 132316
25/11/2023 02:01:52,12 151988
25/11/2023 02:01:58,17 146937
25/11/2023 02:02:04,14 147115
25/11/2023 02:02:10,16 146475
25/11/2023 02:02:16,17 147467
25/11/2023 02:02:22,15 144871
25/11/2023 02:02:28,18 150119
25/11/2023 02:02:34,20 150064
25/11/2023 02:02:40,14 153018
25/11/2023 02:02:46,17 150091
25/11/2023 02:02:52,13 134523
25/11/2023 02:02:58,12 149076
25/11/2023 02:03:04,19 151042
25/11/2023 02:03:10,12 149298
25/11/2023 02:03:16,17 149251
25/11/2023 02:03:22,17 149231
25/11/2023 02:03:28,13 149216
25/11/2023 02:03:34,15 158138
25/11/2023 02:03:40,15 158349
25/11/2023 02:03:46,13 132506
25/11/2023 02:03:52,15 132818
25/11/2023 02:03:58,21 152822
25/11/2023 02:04:04,17 147717
25/11/2023 02:04:10,16 147863
25/11/2023 02:04:16,21 147226
25/11/2023 02:04:22,18 148010
25/11/2023 02:04:28,13 133086
25/11/2023 02:04:34,14 149104
25/11/2023 02:04:40,21 148976
25/11/2023 02:04:46,16 153592
25/11/2023 02:04:52,15 150656
25/11/2023 02:04:58,19 150597
25/11/2023 02:05:04,20 148231
25/11/2023 02:05:10,19 150163
25/11/2023 02:05:16,14 148203
25/11/2023 02:05:22,13 148193
25/11/2023 02:05:28,17 148201
25/11/2023 02:05:34,12 148137
25/11/2023 02:05:40,22 158784
25/11/2023 02:05:46,21 159368
25/11/2023 02:05:52,20 133853
25/11/2023 02:05:58,20 134167
25/11/2023 02:06:04,21 153905
25/11/2023 02:06:10,19 148838
25/11/2023 02:06:16,14 148980
25/11/2023 02:06:22,16 148404
25/11/2023 02:06:28,17 149128
25/11/2023 02:06:34,18 115307
25/11/2023 02:06:40,20 151908
25/11/2023 02:06:46,13 151704
25/11/2023 02:06:52,21 154682
25/11/2023 02:06:58,15 151758
25/11/2023 02:07:04,17 151678
25/11/2023 02:07:10,22 151034
25/11/2023 02:07:16,22 151347
25/11/2023 02:07:22,17 149630
25/11/2023 02:07:28,14 149390
25/11/2023 02:07:34,16 149289
25/11/2023 02:07:40,21 149286
25/11/2023 02:07:46,16 161490
25/11/2023 02:07:52,12 161768
25/11/2023 02:07:58,20 134176
25/11/2023 02:08:04,16 134524
25/11/2023 02:08:10,20 154250
25/11/2023 02:08:16,11 149176
25/11/2023 02:08:22,21 149346
25/11/2023 02:08:28,19 148686
25/11/2023 02:08:34,12 149439
25/11/2023 02:08:40,22 145043
25/11/2023 02:08:46,21 150418
25/11/2023 02:08:52,17 150393
25/11/2023 02:08:58,22 155061
25/11/2023 02:09:04,18 152097
25/11/2023 02:09:10,19 152049
25/11/2023 02:09:16,20 151412
25/11/2023 02:09:22,13 153434
25/11/2023 02:09:28,16 151802
25/11/2023 02:09:34,21 151691
25/11/2023 02:09:40,16 151662
25/11/2023 02:09:46,20 151550
25/11/2023 02:09:52,18 160398
25/11/2023 02:09:58,12 160861
25/11/2023 02:10:04,21 134311
25/11/2023 02:10:10,20 134695
25/11/2023 02:10:16,11 154374
25/11/2023 02:10:22,11 149378
25/11/2023 02:10:28,17 149451
25/11/2023 02:10:34,14 148867
25/11/2023 02:10:40,14 149608
25/11/2023 02:10:46,21 147067
25/11/2023 02:10:52,18 152303
25/11/2023 02:10:58,11 152267
25/11/2023 02:11:04,11 155244
25/11/2023 02:11:10,11 152308
25/11/2023 02:11:16,13 152209
25/11/2023 02:11:22,13 153940
25/11/2023 02:11:28,13 151878
25/11/2023 02:11:34,15 150256
25/11/2023 02:11:40,12 150082
25/11/2023 02:11:46,21 150146
