Inicio: 24/11/2023 23:57:16,41 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: keypropflag.txt
25/11/2023 00:15:10,13 122711
25/11/2023 00:15:16,21 126458
25/11/2023 00:15:22,13 126135
25/11/2023 00:15:28,19 129116
25/11/2023 00:15:34,22 126186
25/11/2023 00:15:40,14 126158
25/11/2023 00:15:46,19 128027
25/11/2023 00:15:52,21 129602
25/11/2023 00:15:58,14 127822
25/11/2023 00:16:04,20 127828
25/11/2023 00:16:10,23 127840
25/11/2023 00:16:16,15 127812
25/11/2023 00:16:22,22 136855
25/11/2023 00:16:28,11 137371
25/11/2023 00:16:34,19 111183
25/11/2023 00:16:40,17 111865
25/11/2023 00:16:46,20 111935
25/11/2023 00:16:52,13 129858
25/11/2023 00:16:58,12 126725
25/11/2023 00:17:04,17 126186
25/11/2023 00:17:10,19 124493
25/11/2023 00:17:16,22 123869
25/11/2023 00:17:22,12 129321
25/11/2023 00:17:28,12 128978
25/11/2023 00:17:34,17 130161
25/11/2023 00:17:40,20 127323
25/11/2023 00:17:46,20 127195
25/11/2023 00:17:52,12 130573
25/11/2023 00:17:58,16 128760
25/11/2023 00:18:04,18 126816
25/11/2023 00:18:10,12 126786
25/11/2023 00:18:16,17 126798
25/11/2023 00:18:22,20 126814
25/11/2023 00:18:28,21 137514
25/11/2023 00:18:34,17 138008
25/11/2023 00:18:40,15 111709
25/11/2023 00:18:46,22 112476
25/11/2023 00:18:52,13 112525
25/11/2023 00:18:58,15 130445
25/11/2023 00:19:04,15 125603
25/11/2023 00:19:10,22 124995
25/11/2023 00:19:16,22 126709
25/11/2023 00:19:22,21 126130
25/11/2023 00:19:28,20 128179
25/11/2023 00:19:34,12 127813
25/11/2023 00:19:40,15 132476
25/11/2023 00:19:46,12 129590
25/11/2023 00:19:51,13 129359
25/11/2023 00:19:57,21 129461
25/11/2023 00:20:03,12 126825
25/11/2023 00:20:09,12 129270
25/11/2023 00:20:14,13 127398
25/11/2023 00:20:20,17 127555
25/11/2023 00:20:26,18 127506
25/11/2023 00:20:32,18 127530
25/11/2023 00:20:38,20 138669
25/11/2023 00:20:44,16 101526
25/11/2023 00:20:50,13 111481
25/11/2023 00:20:56,22 111473
25/11/2023 00:21:02,13 129951
25/11/2023 00:21:08,21 124879
25/11/2023 00:21:14,19 125032
25/11/2023 00:21:20,19 126073
25/11/2023 00:21:26,22 126058
25/11/2023 00:21:32,13 129067
25/11/2023 00:21:38,20 129114
25/11/2023 00:21:44,12 129069
25/11/2023 00:21:50,13 132023
25/11/2023 00:21:56,15 128999
25/11/2023 00:22:02,15 128852
25/11/2023 00:22:08,20 126274
25/11/2023 00:22:14,14 128546
25/11/2023 00:22:20,22 126883
25/11/2023 00:22:26,16 126860
25/11/2023 00:22:32,19 126409
25/11/2023 00:22:38,16 126527
25/11/2023 00:22:44,19 137185
25/11/2023 00:22:50,18 103411
25/11/2023 00:22:56,21 109186
25/11/2023 00:23:02,18 109115
25/11/2023 00:23:08,16 128744
25/11/2023 00:23:14,17 123423
25/11/2023 00:23:20,17 125354
25/11/2023 00:23:26,12 125047
25/11/2023 00:23:32,14 124691
25/11/2023 00:23:38,17 125964
25/11/2023 00:23:44,21 126022
25/11/2023 00:23:50,13 125998
25/11/2023 00:23:56,16 130688
25/11/2023 00:24:02,11 127689
25/11/2023 00:24:07,18 127445
25/11/2023 00:24:13,15 124937
25/11/2023 00:24:19,12 127288
25/11/2023 00:24:25,20 125625
25/11/2023 00:24:31,13 125546
25/11/2023 00:24:37,21 125578
25/11/2023 00:24:43,16 125586
25/11/2023 00:24:49,16 136314
25/11/2023 00:24:55,21 136790
25/11/2023 00:25:01,19 111156
25/11/2023 00:25:07,15 111364
25/11/2023 00:25:13,16 131020
25/11/2023 00:25:19,19 125954
25/11/2023 00:25:25,13 125905
25/11/2023 00:25:31,16 124965
25/11/2023 00:25:37,21 126165
25/11/2023 00:25:43,14 126431
25/11/2023 00:25:49,20 126650
25/11/2023 00:25:55,13 126654
25/11/2023 00:26:01,19 131385
25/11/2023 00:26:07,15 128449
25/11/2023 00:26:13,14 128379
25/11/2023 00:26:19,20 125713
25/11/2023 00:26:25,14 129983
25/11/2023 00:26:31,20 128311
25/11/2023 00:26:37,13 128267
25/11/2023 00:26:43,18 128536
25/11/2023 00:26:49,12 126287
25/11/2023 00:26:55,21 133886
25/11/2023 00:27:01,21 133717
25/11/2023 00:27:07,13 107801
