Inicio: 25/11/2023 11:58:48,83 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: unload-async-await.txt
25/11/2023 12:15:39,14 125196
25/11/2023 12:15:44,16 91110
25/11/2023 12:15:50,15 136675
25/11/2023 12:15:56,19 109890
25/11/2023 12:16:02,20 110699
25/11/2023 12:16:08,22 110758
25/11/2023 12:16:14,12 128888
25/11/2023 12:16:19,18 123324
25/11/2023 12:16:25,22 124122
25/11/2023 12:16:31,20 123595
25/11/2023 12:16:37,20 123418
25/11/2023 12:16:43,19 126746
25/11/2023 12:16:49,13 126599
25/11/2023 12:16:54,15 126479
25/11/2023 12:17:00,16 129563
25/11/2023 12:17:06,18 126453
25/11/2023 12:17:12,22 127980
25/11/2023 12:17:18,13 125206
25/11/2023 12:17:23,14 127607
25/11/2023 12:17:29,21 125975
25/11/2023 12:17:35,22 125935
25/11/2023 12:17:41,14 125900
25/11/2023 12:17:47,18 125944
25/11/2023 12:17:53,20 136548
25/11/2023 12:17:59,13 136968
25/11/2023 12:18:05,16 110953
25/11/2023 12:18:11,20 111171
25/11/2023 12:18:17,14 129082
25/11/2023 12:18:23,15 123966
25/11/2023 12:18:28,17 123999
25/11/2023 12:18:34,15 123455
25/11/2023 12:18:39,15 124077
25/11/2023 12:18:44,15 123373
25/11/2023 12:18:49,17 126855
25/11/2023 12:18:55,15 126736
25/11/2023 12:19:01,16 92671
25/11/2023 12:19:07,12 126643
25/11/2023 12:19:13,17 126551
25/11/2023 12:19:19,21 128141
25/11/2023 12:19:25,12 125339
25/11/2023 12:19:30,15 127565
25/11/2023 12:19:36,21 125921
25/11/2023 12:19:42,12 125891
25/11/2023 12:19:48,19 125856
25/11/2023 12:19:54,22 125879
25/11/2023 12:20:00,14 136777
25/11/2023 12:20:06,16 137131
25/11/2023 12:20:12,20 111113
25/11/2023 12:20:18,16 111281
25/11/2023 12:20:24,18 129449
25/11/2023 12:20:30,20 124225
25/11/2023 12:20:36,19 124463
25/11/2023 12:20:42,15 85164
25/11/2023 12:20:48,17 116652
25/11/2023 12:20:53,15 119099
25/11/2023 12:20:59,22 119295
25/11/2023 12:21:05,14 119244
25/11/2023 12:21:11,19 122266
25/11/2023 12:21:17,13 118851
25/11/2023 12:21:22,16 118606
25/11/2023 12:21:28,17 120517
25/11/2023 12:21:34,20 120028
25/11/2023 12:21:40,14 118250
25/11/2023 12:21:46,21 118280
25/11/2023 12:21:52,13 118276
25/11/2023 12:21:58,18 118286
25/11/2023 12:22:04,21 128581
25/11/2023 12:22:10,20 127648
25/11/2023 12:22:16,16 101027
25/11/2023 12:22:22,12 101556
25/11/2023 12:22:27,17 101450
25/11/2023 12:22:33,18 119745
25/11/2023 12:22:39,20 115171
25/11/2023 12:22:45,20 114651
25/11/2023 12:22:51,21 114804
25/11/2023 12:22:57,13 114214
25/11/2023 12:23:02,14 117729
25/11/2023 12:23:07,17 117377
25/11/2023 12:23:13,21 117530
25/11/2023 12:23:19,20 120548
25/11/2023 12:23:25,16 117445
25/11/2023 12:23:31,11 119167
25/11/2023 12:23:36,17 116224
25/11/2023 12:23:42,14 119013
25/11/2023 12:23:47,17 117104
25/11/2023 12:23:53,21 117247
25/11/2023 12:23:59,17 117231
25/11/2023 12:24:05,17 117250
25/11/2023 12:24:11,14 127203
25/11/2023 12:24:17,20 127764
25/11/2023 12:24:23,14 100913
25/11/2023 12:24:29,15 101195
25/11/2023 12:24:35,15 119406
25/11/2023 12:24:41,16 114183
25/11/2023 12:24:47,17 114454
25/11/2023 12:24:53,20 113805
25/11/2023 12:24:59,18 114618
