Inicio: 25/11/2023 19:09:30,80 - App: com.cleversystems.s3panelTv - Intervalo: 5 seg - Duracao: 99999999 min - Log: video-error-key.txt
25/11/2023 19:26:17,21 115176
25/11/2023 19:26:23,21 115156
25/11/2023 19:26:29,15 115155
25/11/2023 19:26:35,13 115163
25/11/2023 19:26:40,15 125614
25/11/2023 19:26:46,19 126027
25/11/2023 19:26:52,12 100065
25/11/2023 19:26:58,16 100304
25/11/2023 19:27:04,21 118397
25/11/2023 19:27:10,21 113297
25/11/2023 19:27:16,22 113541
25/11/2023 19:27:22,14 112673
25/11/2023 19:27:27,14 113609
25/11/2023 19:27:32,15 112571
25/11/2023 19:27:38,18 116432
25/11/2023 19:27:44,21 116014
25/11/2023 19:27:50,12 118895
25/11/2023 19:27:55,17 115725
25/11/2023 19:28:01,18 115715
25/11/2023 19:28:07,18 117751
25/11/2023 19:28:13,22 112581
25/11/2023 19:28:19,18 114982
25/11/2023 19:28:25,13 114966
25/11/2023 19:28:31,13 114952
25/11/2023 19:28:37,18 114952
25/11/2023 19:28:43,21 79537
25/11/2023 19:28:49,13 125710
25/11/2023 19:28:55,18 98935
25/11/2023 19:29:01,14 99739
25/11/2023 19:29:07,18 99797
25/11/2023 19:29:13,14 117954
25/11/2023 19:29:19,13 113011
25/11/2023 19:29:25,17 112559
25/11/2023 19:29:31,19 112781
25/11/2023 19:29:37,20 112293
25/11/2023 19:29:43,17 115606
25/11/2023 19:29:49,22 115324
25/11/2023 19:29:55,21 118262
25/11/2023 19:30:01,12 115212
25/11/2023 19:30:06,18 115055
25/11/2023 19:30:12,20 116841
25/11/2023 19:30:18,21 114085
25/11/2023 19:30:24,23 116455
25/11/2023 19:30:30,16 114659
25/11/2023 19:30:36,18 114654
25/11/2023 19:30:42,21 114638
25/11/2023 19:30:48,14 114634
25/11/2023 19:30:54,16 125607
25/11/2023 19:31:00,12 98984
25/11/2023 19:31:05,13 99684
25/11/2023 19:31:10,15 99805
25/11/2023 19:31:16,16 118098
25/11/2023 19:31:22,16 112988
25/11/2023 19:31:28,18 113400
25/11/2023 19:31:34,21 112532
25/11/2023 19:31:40,18 113636
25/11/2023 19:31:46,17 115935
25/11/2023 19:31:52,20 116077
25/11/2023 19:31:58,12 116065
25/11/2023 19:32:04,15 118938
25/11/2023 19:32:10,21 115863
25/11/2023 19:32:16,16 117459
25/11/2023 19:32:22,18 114728
25/11/2023 19:32:28,20 117074
25/11/2023 19:32:34,12 115306
25/11/2023 19:32:39,16 115146
25/11/2023 19:32:45,17 115430
25/11/2023 19:32:51,17 115466
25/11/2023 19:32:57,18 125511
25/11/2023 19:33:03,12 125924
25/11/2023 19:33:09,20 99859
25/11/2023 19:33:15,21 100203
25/11/2023 19:33:21,11 118418
25/11/2023 19:33:27,17 113257
25/11/2023 19:33:33,19 113627
25/11/2023 19:33:39,20 112947
25/11/2023 19:33:45,16 113946
25/11/2023 19:33:51,17 116208
25/11/2023 19:33:57,21 116542
25/11/2023 19:34:03,22 116492
25/11/2023 19:34:09,18 119249
25/11/2023 19:34:15,12 116209
25/11/2023 19:34:20,15 116021
25/11/2023 19:34:26,12 117921
25/11/2023 19:34:32,20 117436
25/11/2023 19:34:38,22 115588
25/11/2023 19:34:44,12 115566
25/11/2023 19:34:49,14 115414
25/11/2023 19:34:55,14 115562
25/11/2023 19:35:01,15 115590
25/11/2023 19:35:07,20 126533
25/11/2023 19:35:13,11 99680
25/11/2023 19:35:19,22 100548
25/11/2023 19:35:25,22 100586
25/11/2023 19:35:31,17 118709
25/11/2023 19:35:37,22 113850
25/11/2023 19:35:43,16 113443
25/11/2023 19:35:49,15 113717
25/11/2023 19:35:54,16 113275
25/11/2023 19:36:00,16 116632
25/11/2023 19:36:06,17 116409
25/11/2023 19:36:12,19 106947
25/11/2023 19:36:18,15 116294
25/11/2023 19:36:24,17 116251
25/11/2023 19:36:30,22 117874
25/11/2023 19:36:36,13 115112
25/11/2023 19:36:42,15 117451
25/11/2023 19:36:48,20 115675
25/11/2023 19:36:54,14 115654
25/11/2023 19:37:00,12 115613
25/11/2023 19:37:06,19 115642
25/11/2023 19:37:12,17 126538
25/11/2023 19:37:18,21 99765
25/11/2023 19:37:24,18 100561
25/11/2023 19:37:30,19 100629
25/11/2023 19:37:36,14 118913
25/11/2023 19:37:42,19 113633
25/11/2023 19:37:48,16 114326
25/11/2023 19:37:54,12 113799
25/11/2023 19:38:00,12 113671
25/11/2023 19:38:05,11 116731
25/11/2023 19:38:10,14 116482
25/11/2023 19:38:16,16 116616
25/11/2023 19:38:22,12 119622
25/11/2023 19:38:28,18 116623
25/11/2023 19:38:34,19 117963
25/11/2023 19:38:40,19 115219
25/11/2023 19:38:46,19 117596
25/11/2023 19:38:52,22 115813
25/11/2023 19:38:58,15 115833
25/11/2023 19:39:04,20 115833
25/11/2023 19:39:10,12 115817
25/11/2023 19:39:15,15 126197
25/11/2023 19:39:21,20 126558
25/11/2023 19:39:27,11 100324
25/11/2023 19:39:32,14 100872
25/11/2023 19:39:38,18 101082
25/11/2023 19:39:44,21 119183
25/11/2023 19:39:50,12 114465
25/11/2023 19:39:56,19 113958
25/11/2023 19:40:02,15 114359
25/11/2023 19:40:08,16 113615
25/11/2023 19:40:14,16 117618
25/11/2023 19:40:20,19 117229
25/11/2023 19:40:26,22 120053
25/11/2023 19:40:32,15 117048
25/11/2023 19:40:38,21 117035
25/11/2023 19:40:44,22 118556
25/11/2023 19:40:50,15 118142
25/11/2023 19:40:56,21 116339
25/11/2023 19:41:02,15 116312
25/11/2023 19:41:08,15 116305
25/11/2023 19:41:14,13 116290
25/11/2023 19:41:19,15 116144
25/11/2023 19:41:25,16 127436
25/11/2023 19:41:31,21 100847
25/11/2023 19:41:37,17 101745
25/11/2023 19:41:43,22 101803
25/11/2023 19:41:49,15 119847
25/11/2023 19:41:55,21 98876
25/11/2023 19:42:01,19 114530
25/11/2023 19:42:07,16 114672
25/11/2023 19:42:13,16 114305
25/11/2023 19:42:18,15 117570
25/11/2023 19:42:24,18 117505
25/11/2023 19:42:30,22 117489
25/11/2023 19:42:36,17 120424
25/11/2023 19:42:42,20 117358
25/11/2023 19:42:48,13 118821
25/11/2023 19:42:54,17 116075
25/11/2023 19:43:03,18 115948
25/11/2023 19:43:09,22 116606
25/11/2023 19:43:15,13 116609
25/11/2023 19:43:20,15 116443
25/11/2023 19:43:26,22 127347
25/11/2023 19:43:32,17 127770
25/11/2023 19:43:38,21 101245
25/11/2023 19:43:44,14 102029
25/11/2023 19:43:49,16 101847
25/11/2023 19:43:55,13 120134
25/11/2023 19:44:00,17 114759
25/11/2023 19:44:05,15 115213
25/11/2023 19:44:11,17 114293
25/11/2023 19:44:17,21 115255
25/11/2023 19:44:23,22 117764
25/11/2023 19:44:29,11 117763
25/11/2023 19:44:34,15 117651
25/11/2023 19:44:40,18 120732
25/11/2023 19:44:46,20 117689
25/11/2023 19:44:52,15 119588
25/11/2023 19:44:58,21 116274
25/11/2023 19:45:04,11 118598
25/11/2023 19:45:10,20 116873
25/11/2023 19:45:16,22 116857
25/11/2023 19:45:22,15 116855
25/11/2023 19:45:28,20 116852
25/11/2023 19:45:34,13 127357
25/11/2023 19:45:40,19 127859
25/11/2023 19:45:46,16 101558
25/11/2023 19:45:52,19 101797
25/11/2023 19:45:58,22 119996
25/11/2023 19:46:04,15 114888
25/11/2023 19:46:10,18 115077
25/11/2023 19:46:16,20 114342
25/11/2023 19:46:22,22 115301
25/11/2023 19:46:28,21 117583
25/11/2023 19:46:34,14 117692
25/11/2023 19:46:40,18 117680
25/11/2023 19:46:46,22 120620
25/11/2023 19:46:52,14 117513
25/11/2023 19:46:58,13 119158
25/11/2023 19:47:04,16 116318
25/11/2023 19:47:10,19 115663
25/11/2023 19:47:16,18 113713
25/11/2023 19:47:22,21 113444
25/11/2023 19:47:28,15 113446
25/11/2023 19:47:34,13 113718
25/11/2023 19:47:40,20 124194
25/11/2023 19:47:46,14 124935
25/11/2023 19:47:52,18 98419
25/11/2023 19:47:58,21 98721
25/11/2023 19:48:04,15 116897
25/11/2023 19:48:10,20 111746
25/11/2023 19:48:16,21 111956
25/11/2023 19:48:22,13 111200
25/11/2023 19:48:28,19 112372
25/11/2023 19:48:34,21 114717
25/11/2023 19:48:40,12 114816
25/11/2023 19:48:45,17 114692
25/11/2023 19:48:51,19 117785
25/11/2023 19:48:57,20 114730
25/11/2023 19:49:03,13 114693
25/11/2023 19:49:08,16 116284
25/11/2023 19:49:14,20 115920
25/11/2023 19:49:20,13 114219
25/11/2023 19:49:26,17 114166
25/11/2023 19:49:32,21 114170
25/11/2023 19:49:38,12 114070
25/11/2023 19:49:43,14 117038
25/11/2023 19:49:49,19 124566
25/11/2023 19:49:55,15 97612
25/11/2023 19:50:01,12 98496
25/11/2023 19:50:06,13 98480
25/11/2023 19:50:12,12 116686
25/11/2023 19:50:17,15 111453
25/11/2023 19:50:23,15 111649
25/11/2023 19:50:29,15 110735
25/11/2023 19:50:35,15 112031
25/11/2023 19:50:40,15 114151
25/11/2023 19:50:45,15 114253
25/11/2023 19:50:51,16 114404
25/11/2023 19:50:57,21 117289
25/11/2023 19:51:03,16 114251
25/11/2023 19:51:09,20 114223
25/11/2023 19:51:15,12 115882
25/11/2023 19:51:20,16 78835
25/11/2023 19:51:26,12 113663
25/11/2023 19:51:31,16 113330
25/11/2023 19:51:37,20 113368
25/11/2023 19:51:43,19 113342
25/11/2023 19:51:49,14 113306
25/11/2023 19:51:55,18 124450
25/11/2023 19:52:01,22 97512
25/11/2023 19:52:07,15 98366
25/11/2023 19:52:13,18 98481
25/11/2023 19:52:19,19 116581
