Inicio: 26/11/2023 13:00:20,53 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: video-error-key-continue.txt
26/11/2023 13:31:43,11 117388
26/11/2023 13:31:53,15 115677
26/11/2023 13:32:04,21 116763
26/11/2023 13:32:15,16 118091
26/11/2023 13:32:26,19 118098
26/11/2023 13:32:37,16 128858
26/11/2023 13:32:48,13 103212
26/11/2023 13:32:58,21 121908
26/11/2023 13:33:09,19 117042
26/11/2023 13:33:20,20 116545
26/11/2023 13:33:31,18 119151
26/11/2023 13:33:42,19 115971
26/11/2023 13:33:53,22 119095
26/11/2023 13:34:04,11 116942
26/11/2023 13:34:14,13 117762
26/11/2023 13:34:24,17 118924
26/11/2023 13:34:35,19 119116
26/11/2023 13:34:46,16 129970
26/11/2023 13:34:57,18 103832
26/11/2023 13:35:08,22 122495
26/11/2023 13:35:19,12 117152
26/11/2023 13:35:30,12 116864
26/11/2023 13:35:40,16 118515
26/11/2023 13:35:51,12 118721
26/11/2023 13:36:01,20 119597
26/11/2023 13:36:12,15 117464
26/11/2023 13:36:23,14 117899
26/11/2023 13:36:34,13 118953
26/11/2023 13:36:44,18 128689
26/11/2023 13:36:55,14 102728
26/11/2023 13:37:06,20 104328
26/11/2023 13:37:17,21 122309
26/11/2023 13:37:28,21 117195
26/11/2023 13:37:39,22 120540
26/11/2023 13:37:50,20 120263
26/11/2023 13:38:01,15 119264
26/11/2023 13:38:12,12 117651
26/11/2023 13:38:23,12 118426
26/11/2023 13:38:33,20 119500
26/11/2023 13:38:44,19 119632
26/11/2023 13:38:55,16 130030
26/11/2023 13:39:06,15 103879
26/11/2023 13:39:17,15 122893
26/11/2023 13:39:28,13 117666
26/11/2023 13:39:39,17 117267
26/11/2023 13:39:50,16 120185
26/11/2023 13:40:01,18 118946
26/11/2023 13:40:12,17 120199
26/11/2023 13:40:23,13 117904
26/11/2023 13:40:34,20 118636
26/11/2023 13:40:45,13 119728
26/11/2023 13:40:56,15 129530
26/11/2023 13:41:07,19 103079
26/11/2023 13:41:18,13 104671
26/11/2023 13:41:29,21 122548
26/11/2023 13:41:40,16 117194
26/11/2023 13:41:51,12 118836
26/11/2023 13:42:02,18 120224
26/11/2023 13:42:13,12 119280
26/11/2023 13:42:23,19 117538
