Inicio: 26/11/2023 10:23:44,90 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: on-error-load-async.txt
26/11/2023 10:55:12,19 120304
26/11/2023 10:55:23,14 127873
26/11/2023 10:55:34,13 114819
26/11/2023 10:55:45,19 114748
26/11/2023 10:55:56,17 116806
26/11/2023 10:56:07,21 120913
26/11/2023 10:56:18,18 125117
26/11/2023 10:56:29,13 126908
26/11/2023 10:56:39,22 126378
26/11/2023 10:56:50,19 121572
26/11/2023 10:57:01,19 119365
26/11/2023 10:57:12,18 118604
26/11/2023 10:57:23,14 120440
26/11/2023 10:57:34,13 128812
26/11/2023 10:57:45,20 116478
26/11/2023 10:57:56,21 116419
26/11/2023 10:58:07,20 117662
26/11/2023 10:58:18,21 118142
26/11/2023 10:58:29,17 127090
26/11/2023 10:58:40,22 125576
26/11/2023 10:58:51,13 126328
26/11/2023 10:59:02,13 121267
26/11/2023 10:59:13,16 120176
26/11/2023 10:59:24,21 118932
26/11/2023 10:59:35,15 127508
26/11/2023 10:59:46,13 115135
26/11/2023 10:59:57,21 115052
26/11/2023 11:00:08,15 116906
26/11/2023 11:00:19,21 121467
26/11/2023 11:00:30,16 126134
26/11/2023 11:00:41,22 126850
26/11/2023 11:00:52,19 126479
26/11/2023 11:01:03,17 122400
26/11/2023 11:01:14,15 119711
26/11/2023 11:01:25,16 119019
26/11/2023 11:01:36,12 120741
26/11/2023 11:01:47,20 129326
26/11/2023 11:01:58,13 115536
26/11/2023 11:02:09,19 116695
26/11/2023 11:02:20,17 117922
26/11/2023 11:02:31,12 118326
26/11/2023 11:02:42,16 127436
26/11/2023 11:02:53,12 125803
26/11/2023 11:03:04,19 126342
26/11/2023 11:03:15,16 121446
26/11/2023 11:03:26,21 120002
26/11/2023 11:03:37,13 120766
26/11/2023 11:03:48,15 127824
26/11/2023 11:03:59,19 115303
26/11/2023 11:04:10,14 114945
26/11/2023 11:04:21,12 119850
26/11/2023 11:04:32,21 117802
26/11/2023 11:04:43,20 123239
26/11/2023 11:04:54,22 123769
26/11/2023 11:05:05,22 121998
26/11/2023 11:05:16,19 117923
26/11/2023 11:05:27,18 115547
26/11/2023 11:05:38,20 114749
26/11/2023 11:05:49,12 116517
26/11/2023 11:06:00,20 125288
26/11/2023 11:06:11,12 110748
26/11/2023 11:06:22,14 112314
26/11/2023 11:06:33,22 114057
26/11/2023 11:06:44,14 114305
26/11/2023 11:06:55,16 123772
26/11/2023 11:07:06,19 121638
26/11/2023 11:07:17,21 86915
26/11/2023 11:07:28,14 117139
26/11/2023 11:07:39,21 115909
26/11/2023 11:07:50,16 117636
26/11/2023 11:08:01,15 126003
26/11/2023 11:08:12,22 113473
26/11/2023 11:08:23,15 114932
26/11/2023 11:08:34,19 116242
26/11/2023 11:08:45,16 116265
26/11/2023 11:08:56,17 125323
26/11/2023 11:09:07,20 125943
26/11/2023 11:09:18,21 125755
26/11/2023 11:09:29,13 121706
26/11/2023 11:09:40,18 118689
26/11/2023 11:09:51,22 117746
26/11/2023 11:10:02,19 119546
26/11/2023 11:10:13,13 128873
26/11/2023 11:10:24,22 114920
26/11/2023 11:10:35,17 116589
26/11/2023 11:10:46,21 118083
26/11/2023 11:10:57,18 118483
26/11/2023 11:11:08,13 127789
26/11/2023 11:11:19,13 125575
26/11/2023 11:11:30,19 120956
26/11/2023 11:11:41,16 119090
26/11/2023 11:11:52,13 118780
26/11/2023 11:12:03,21 120608
26/11/2023 11:12:14,17 128224
26/11/2023 11:12:25,14 115718
26/11/2023 11:12:36,12 116382
26/11/2023 11:12:47,13 117870
26/11/2023 11:12:58,12 118250
26/11/2023 11:13:09,12 127444
26/11/2023 11:13:20,13 127519
26/11/2023 11:13:31,19 127062
26/11/2023 11:13:42,12 124253
26/11/2023 11:13:53,19 121338
26/11/2023 11:14:04,12 120296
26/11/2023 11:14:15,13 122246
26/11/2023 11:14:25,21 130983
26/11/2023 11:14:36,21 116907
26/11/2023 11:14:47,17 118322
26/11/2023 11:14:58,22 119742
26/11/2023 11:15:09,16 120094
26/11/2023 11:15:20,15 129321
26/11/2023 11:15:31,12 127943
26/11/2023 11:15:42,16 123650
26/11/2023 11:15:53,23 121209
26/11/2023 11:16:04,18 120728
26/11/2023 11:16:15,21 122503
26/11/2023 11:16:26,18 130385
26/11/2023 11:16:37,16 117705
26/11/2023 11:16:48,20 118246
26/11/2023 11:16:59,11 119192
26/11/2023 11:17:10,21 119926
26/11/2023 11:17:21,19 129080
26/11/2023 11:17:32,15 93631
26/11/2023 11:17:43,19 128929
26/11/2023 11:17:54,16 124974
26/11/2023 11:18:05,19 121881
26/11/2023 11:18:16,16 120535
26/11/2023 11:18:27,13 121916
26/11/2023 11:18:38,22 121719
26/11/2023 11:18:49,22 116145
26/11/2023 11:19:00,20 117369
26/11/2023 11:19:11,17 118648
26/11/2023 11:19:22,16 118928
26/11/2023 11:19:33,14 127818
26/11/2023 11:19:44,14 125885
26/11/2023 11:19:55,18 120785
26/11/2023 11:20:06,16 118898
26/11/2023 11:20:17,20 118500
26/11/2023 11:20:28,19 119464
26/11/2023 11:20:39,22 125929
26/11/2023 11:20:50,15 113059
26/11/2023 11:21:01,25 113593
26/11/2023 11:21:12,20 114831
26/11/2023 11:21:23,14 115038
26/11/2023 11:21:34,15 124143
26/11/2023 11:21:45,15 122599
26/11/2023 11:21:56,19 123879
26/11/2023 11:22:07,17 119983
26/11/2023 11:22:18,15 116311
26/11/2023 11:22:29,22 115193
26/11/2023 11:22:40,13 124729
26/11/2023 11:22:50,18 110900
26/11/2023 11:23:01,13 112304
26/11/2023 11:23:12,14 113917
26/11/2023 11:23:23,17 115186
26/11/2023 11:23:34,18 115480
26/11/2023 11:23:45,18 124770
26/11/2023 11:23:56,20 123876
26/11/2023 11:24:07,18 119034
26/11/2023 11:24:18,13 117223
26/11/2023 11:24:29,20 116679
26/11/2023 11:24:40,18 118487
26/11/2023 11:24:51,19 126636
26/11/2023 11:25:02,22 114061
26/11/2023 11:25:13,13 114308
26/11/2023 11:25:24,22 115154
26/11/2023 11:25:35,22 115310
26/11/2023 11:25:46,14 124510
26/11/2023 11:25:57,19 123194
26/11/2023 11:26:08,22 124084
26/11/2023 11:26:19,12 121136
26/11/2023 11:26:30,15 118189
26/11/2023 11:26:41,13 116964
26/11/2023 11:26:52,16 126343
26/11/2023 11:27:03,13 111819
26/11/2023 11:27:14,21 113121
26/11/2023 11:27:25,12 114892
26/11/2023 11:27:36,17 116058
26/11/2023 11:27:47,15 119799
26/11/2023 11:27:58,14 125531
26/11/2023 11:28:09,15 124848
26/11/2023 11:28:20,12 119718
26/11/2023 11:28:31,17 117792
26/11/2023 11:28:42,22 117093
26/11/2023 11:28:53,17 118912
26/11/2023 11:29:04,14 127602
26/11/2023 11:29:15,12 114976
26/11/2023 11:29:25,20 114793
26/11/2023 11:29:36,20 115980
26/11/2023 11:29:47,12 116397
26/11/2023 11:29:58,14 125518
26/11/2023 11:30:09,20 123847
26/11/2023 11:30:20,13 124708
26/11/2023 11:30:31,13 121574
26/11/2023 11:30:42,14 118609
26/11/2023 11:30:53,18 117373
26/11/2023 11:31:04,17 127054
26/11/2023 11:31:15,20 112571
26/11/2023 11:31:26,18 113927
26/11/2023 11:31:37,12 115759
26/11/2023 11:31:48,20 116723
26/11/2023 11:31:59,17 120484
26/11/2023 11:32:10,11 125752
26/11/2023 11:32:20,20 125139
26/11/2023 11:32:31,14 119949
26/11/2023 11:32:42,17 117948
26/11/2023 11:32:53,13 117430
26/11/2023 11:33:04,20 119254
26/11/2023 11:33:15,12 127140
26/11/2023 11:33:26,13 114519
26/11/2023 11:33:37,22 114667
26/11/2023 11:33:48,19 115981
26/11/2023 11:33:59,19 116293
26/11/2023 11:34:10,20 125442
26/11/2023 11:34:21,11 123788
26/11/2023 11:34:32,13 124750
26/11/2023 11:34:43,14 121522
26/11/2023 11:34:54,15 118874
26/11/2023 11:35:05,16 117830
26/11/2023 11:35:16,17 127274
26/11/2023 11:35:27,16 112469
26/11/2023 11:35:38,21 113825
26/11/2023 11:35:49,14 115534
26/11/2023 11:36:00,18 116934
26/11/2023 11:36:11,17 124102
26/11/2023 11:36:22,20 125981
26/11/2023 11:36:33,22 125052
26/11/2023 11:36:44,21 120170
26/11/2023 11:36:55,16 118179
26/11/2023 11:37:06,14 117474
26/11/2023 11:37:17,19 119298
26/11/2023 11:37:28,15 127732
26/11/2023 11:37:39,19 115740
26/11/2023 11:37:50,20 115466
26/11/2023 11:38:01,13 116467
26/11/2023 11:38:12,18 116984
26/11/2023 11:38:23,16 125912
26/11/2023 11:38:34,14 124343
26/11/2023 11:38:45,17 125061
26/11/2023 11:38:56,19 120169
26/11/2023 11:39:07,17 119083
26/11/2023 11:39:18,15 117839
26/11/2023 11:39:29,20 127266
26/11/2023 11:39:40,18 113754
26/11/2023 11:39:51,17 113712
26/11/2023 11:40:02,22 118742
26/11/2023 11:40:13,20 119865
26/11/2023 11:40:24,19 124996
26/11/2023 11:40:35,19 125996
26/11/2023 11:40:46,17 126820
26/11/2023 11:40:57,17 122878
26/11/2023 11:41:08,16 119915
26/11/2023 11:41:19,15 119239
26/11/2023 11:41:30,13 121039
26/11/2023 11:41:41,20 129459
26/11/2023 11:41:52,19 115380
26/11/2023 11:42:03,12 117088
26/11/2023 11:42:14,16 118286
26/11/2023 11:42:25,13 118537
26/11/2023 11:42:36,19 127982
26/11/2023 11:42:47,12 126624
26/11/2023 11:42:58,13 127243
26/11/2023 11:43:09,19 122302
26/11/2023 11:43:20,13 120466
26/11/2023 11:43:31,14 119738
26/11/2023 11:43:42,11 129185
26/11/2023 11:43:53,13 116344
26/11/2023 11:44:04,15 116038
26/11/2023 11:44:15,14 114873
26/11/2023 11:44:26,15 118721
26/11/2023 11:44:37,13 126318
26/11/2023 11:44:48,18 128100
26/11/2023 11:44:59,16 127666
26/11/2023 11:45:10,14 123676
26/11/2023 11:45:21,15 120776
26/11/2023 11:45:32,19 120054
26/11/2023 11:45:43,15 121842
26/11/2023 11:45:54,14 130516
26/11/2023 11:46:05,20 116459
26/11/2023 11:46:16,20 117627
26/11/2023 11:46:27,15 118856
26/11/2023 11:46:38,20 118834
26/11/2023 11:46:49,15 128164
26/11/2023 11:47:00,15 126641
26/11/2023 11:47:11,11 127319
26/11/2023 11:47:22,13 120285
26/11/2023 11:47:33,19 119751
26/11/2023 11:47:44,14 121567
26/11/2023 11:47:55,19 128531
26/11/2023 11:48:06,20 116328
26/11/2023 11:48:17,17 117016
26/11/2023 11:48:28,14 117944
26/11/2023 11:48:39,20 118244
26/11/2023 11:48:50,18 127046
26/11/2023 11:49:01,14 127796
26/11/2023 11:49:12,12 125710
26/11/2023 11:49:23,11 121258
26/11/2023 11:49:33,11 118148
26/11/2023 11:49:44,16 117321
26/11/2023 11:49:55,15 119029
26/11/2023 11:50:06,16 127829
26/11/2023 11:50:17,19 113819
26/11/2023 11:50:28,13 115205
26/11/2023 11:50:39,17 116463
26/11/2023 11:50:50,11 116619
26/11/2023 11:51:01,15 125897
26/11/2023 11:51:12,17 124314
26/11/2023 11:51:23,19 89483
26/11/2023 11:51:34,18 118701
26/11/2023 11:51:45,19 115885
26/11/2023 11:51:56,12 115077
26/11/2023 11:52:07,21 123299
26/11/2023 11:52:18,23 110590
26/11/2023 11:52:29,21 111517
26/11/2023 11:52:40,16 112479
26/11/2023 11:52:51,12 112650
26/11/2023 11:53:02,19 121349
26/11/2023 11:53:13,20 122005
26/11/2023 11:53:24,15 122915
26/11/2023 11:53:35,13 119235
26/11/2023 11:53:46,18 116874
26/11/2023 11:53:57,14 115904
26/11/2023 11:54:08,19 117708
26/11/2023 11:54:19,21 126502
26/11/2023 11:54:30,13 112373
26/11/2023 11:54:41,20 114136
26/11/2023 11:54:52,12 115158
26/11/2023 11:55:03,20 115398
26/11/2023 11:55:14,17 125615
26/11/2023 11:55:25,15 124359
26/11/2023 11:55:36,12 119601
26/11/2023 11:55:46,13 117335
26/11/2023 11:55:57,17 117141
26/11/2023 11:56:08,21 118835
26/11/2023 11:56:19,15 126730
26/11/2023 11:56:30,13 114021
26/11/2023 11:56:41,13 114643
26/11/2023 11:56:52,12 115567
26/11/2023 11:57:03,22 115879
26/11/2023 11:57:14,17 124497
26/11/2023 11:57:25,11 125119
26/11/2023 11:57:36,15 124955
26/11/2023 11:57:47,14 120852
26/11/2023 11:57:58,17 118128
26/11/2023 11:58:09,18 117078
26/11/2023 11:58:20,18 118930
26/11/2023 11:58:31,19 127770
26/11/2023 11:58:42,13 114410
26/11/2023 11:58:53,20 115204
26/11/2023 11:59:04,22 116214
26/11/2023 11:59:15,20 116426
26/11/2023 11:59:26,20 125946
26/11/2023 11:59:37,22 124389
26/11/2023 11:59:48,17 119539
26/11/2023 11:59:59,13 117534
26/11/2023 12:00:10,21 117136
26/11/2023 12:00:21,16 118960
26/11/2023 12:00:32,12 126889
26/11/2023 12:00:43,16 114351
