Inicio: 28/11/2023 14:13:49,28 - App: com.cleversystems.s3panelTv - Intervalo: 10 seg - Duracao: 99999999 min - Log: teste-media-error.txt
28/11/2023 14:45:29,14 160669
28/11/2023 14:45:40,15 161055
28/11/2023 14:45:51,19 161230
28/11/2023 14:46:02,18 161069
28/11/2023 14:46:13,19 161101
28/11/2023 14:46:24,17 161005
28/11/2023 14:46:35,12 161042
28/11/2023 14:46:46,18 159211
28/11/2023 14:46:57,16 163249
28/11/2023 14:47:08,20 164821
28/11/2023 14:47:19,19 164886
28/11/2023 14:47:30,14 164855
28/11/2023 14:47:41,17 164974
28/11/2023 14:47:52,13 144461
28/11/2023 14:48:03,15 183585
28/11/2023 14:48:14,18 182113
28/11/2023 14:48:25,16 220801
28/11/2023 14:48:36,17 215884
28/11/2023 14:48:47,15 165545
28/11/2023 14:48:58,12 152551
28/11/2023 14:49:09,19 177313
28/11/2023 14:49:20,16 130861
28/11/2023 14:49:31,12 170803
28/11/2023 14:49:42,22 170819
28/11/2023 14:49:53,19 172755
28/11/2023 14:50:04,12 143771
28/11/2023 14:50:15,16 194821
28/11/2023 14:50:26,18 176047
28/11/2023 14:50:37,17 169545
28/11/2023 14:50:48,14 167444
28/11/2023 14:50:59,21 166094
28/11/2023 14:51:10,20 166136
28/11/2023 14:51:21,19 166344
28/11/2023 14:51:32,19 158083
28/11/2023 14:51:43,16 159236
28/11/2023 14:51:54,22 159266
28/11/2023 14:52:05,16 162546
28/11/2023 14:52:16,13 162860
28/11/2023 14:52:27,17 163034
28/11/2023 14:52:38,17 163047
28/11/2023 14:52:49,12 163023
28/11/2023 14:53:00,22 163039
28/11/2023 14:53:11,19 163021
28/11/2023 14:53:22,18 163075
28/11/2023 14:53:33,18 166807
28/11/2023 14:53:44,11 168329
28/11/2023 14:53:55,15 168436
28/11/2023 14:54:06,16 168319
28/11/2023 14:54:17,15 168301
28/11/2023 14:54:28,15 146765
28/11/2023 14:54:39,22 187085
28/11/2023 14:54:50,15 188294
28/11/2023 14:55:01,13 230446
28/11/2023 14:55:12,16 230458
28/11/2023 14:55:23,13 169169
28/11/2023 14:55:34,17 168912
28/11/2023 14:55:45,15 153998
28/11/2023 14:55:56,15 132895
28/11/2023 14:56:07,16 172673
28/11/2023 14:56:18,14 172445
28/11/2023 14:56:29,18 174321
28/11/2023 14:56:40,13 145856
28/11/2023 14:56:51,22 181266
28/11/2023 14:57:02,18 194092
28/11/2023 14:57:13,11 193280
28/11/2023 14:57:24,17 176178
28/11/2023 14:57:35,21 174462
28/11/2023 14:57:46,12 174488
28/11/2023 14:57:57,14 174591
28/11/2023 14:58:08,12 173583
28/11/2023 14:58:19,16 165359
28/11/2023 14:58:30,12 165226
28/11/2023 14:58:41,20 165032
28/11/2023 14:58:52,12 163037
28/11/2023 14:59:03,21 162681
28/11/2023 14:59:14,18 161892
28/11/2023 14:59:25,19 161303
28/11/2023 14:59:36,14 160894
28/11/2023 14:59:47,13 160890
28/11/2023 14:59:58,16 160606
28/11/2023 15:00:09,15 161867
28/11/2023 15:00:20,15 156692
28/11/2023 15:00:31,16 158005
28/11/2023 15:00:42,16 158559
28/11/2023 15:00:53,16 159325
28/11/2023 15:01:04,21 147152
28/11/2023 15:01:15,15 125952
28/11/2023 15:01:26,20 192855
28/11/2023 15:01:37,14 228670
28/11/2023 15:01:48,15 228493
